file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/graphql-java_graphql-java/src/test/groovy/readme/SubscriptionExamples.java,readme.SubscriptionExamples,class,8,10,2,8,4,1,0,6,6,0.0,0.0,0.0,4,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,10,0,6,1,6,0,2,1,0,34,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/schema/visitor/GraphQLSchemaVisitorAdapter.java,graphql.schema.visitor.GraphQLSchemaVisitorAdapter$ScalarTypeEnv,innerclass,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/schema/diffing/ana/EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,class,96,98,2,96,588,1,0,261,4992,0.92239004,0.0,0.0,112,3,2,109,0,1,3,0,0,0,13,2,0,13,0,0,13,0,8,2324,266,11,9,0,18,19,2,568,7,599,4,0,0,34,196,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/schema/diffing/ana/SchemaDifference.java,graphql.schema.diffing.ana.SchemaDifference$ObjectInterfaceImplementationAddition,innerclass,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/schema/SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous2,anonymous,11,11,0,11,13,1,0,19,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,4,0,1,0,2,11,2,12,3,0,0,2,44,-1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/ExecutionStrategy.java,graphql.execution.ExecutionStrategy,class,67,79,12,67,106,1,4,227,1025,0.95652175,0.0,0.0,46,6,4,15,25,2,31,1,0,0,4,0,0,1,3,0,4,0,16,567,66,3,12,10,2,17,4,151,1,143,4,0,0,18,454,1025,0
/tmp/ck-analysis/graphql-java_graphql-java/src/test/groovy/graphql/execution/pubsub/Message.java,graphql.execution.pubsub.Message,class,0,4,4,0,4,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,3,0,0,0,0,3,0,2,2,2,0,0,0,0,13,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/schema/SchemaTransformer.java,graphql.schema.SchemaTransformer$Anonymous1,anonymous,4,4,0,4,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,0,0,0,2,0,1,1,0,0,0,23,-1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/ResolveType.java,graphql.execution.ResolveType,class,19,21,2,19,8,1,0,32,10,0.0,0.0,0.0,5,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,36,6,0,1,0,0,1,0,7,1,7,1,0,0,2,51,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/jmh/java/benchmark/BuildSchemaBenchmark.java,benchmark.BuildSchemaBenchmark,class,15,15,0,15,3,1,0,7,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,1,0,1,0,0,2,13,0,0,0,0,0,1,4,2,0,2,0,0,0,0,23,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/test/groovy/readme/InstrumentationExamples.java,readme.InstrumentationExamples$FooInstrumentation,innerclass,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/schema/transform/VisibleFieldPredicateEnvironment.java,graphql.schema.transform.VisibleFieldPredicateEnvironment,interface,4,8,4,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,1,0
/tmp/ck-analysis/graphql-java_graphql-java/performance-results-page/src/main/java/graphql/performance/page/parser/ResultFileParser.java,graphql.performance.page.parser.ResultFileParser,class,3,4,1,3,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,2,0,1,15,1,0,0,0,0,3,5,10,1,10,0,0,0,0,55,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/util/TraverserContext.java,graphql.util.TraverserContext,interface,8,100,92,8,24,1,0,0,276,0.0,0.0,0.0,24,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,193,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/test/groovy/graphql/util/javac/DynamicJavacSupport.java,graphql.util.javac.DynamicJavacSupport,class,3,3,0,3,3,3,0,10,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,83,1,0,0,0,0,3,0,9,1,10,1,0,4,1,69,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/ValuesResolverLegacy.java,graphql.execution.ValuesResolverLegacy,class,17,19,2,17,23,1,0,38,15,0.0,NaN,NaN,6,6,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,85,17,1,3,0,4,6,0,12,2,13,2,0,0,1,67,0,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/analysis/QueryVisitorFieldEnvironment.java,graphql.analysis.QueryVisitorFieldEnvironment,interface,10,25,15,10,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/collect/ImmutableMapWithNullValues.java,graphql.collect.ImmutableMapWithNullValues,class,6,11,5,6,32,1,0,17,247,0.7166667,0.0,0.0,30,2,28,2,0,0,28,0,0,0,2,1,0,2,0,0,2,0,4,101,16,0,0,0,0,16,0,2,0,2,1,0,0,0,89,17,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/ExecutionStepInfo.java,graphql.execution.ExecutionStepInfo$Builder,innerclass,8,8,0,8,10,1,0,0,27,0.7857143,0.0,0.0,10,0,8,2,0,0,8,0,0,0,7,0,0,0,0,7,0,0,0,52,8,0,0,0,0,0,0,15,0,7,0,0,0,0,25,9,0
/tmp/ck-analysis/graphql-java_graphql-java/src/test/groovy/readme/InstrumentationExamples.java,readme.InstrumentationExamples$Anonymous2,anonymous,3,3,0,3,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,2,1,1,0,1,1,0,0,0,10,-1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/jmh/java/benchmark/SimpleQueryBenchmark.java,benchmark.SimpleQueryBenchmark$CharacterDTO,innerclass,3,3,0,3,5,1,0,6,0,0.25,0.0,0.0,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,1,25,3,1,0,0,0,2,2,6,1,6,1,0,0,0,24,8,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/preparsed/persisted/PersistedQueryError.java,graphql.execution.preparsed.persisted.PersistedQueryError,class,1,4,3,1,1,4,2,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/util/querygenerator/QueryGeneratorOptions.java,graphql.util.querygenerator.QueryGeneratorOptions$QueryGeneratorOptionsBuilder,innerclass,6,6,0,6,8,1,0,1,3,0.625,0.0,0.0,6,1,4,2,0,0,4,0,0,0,4,1,0,4,0,0,1,0,2,32,5,0,0,0,0,3,1,7,1,5,1,0,0,1,72,9,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/TypeResolutionEnvironment.java,graphql.TypeResolutionEnvironment,class,12,13,1,12,10,1,0,11,25,0.78888893,0.0,0.0,10,0,10,0,0,0,10,0,0,0,9,0,0,9,0,0,9,0,1,49,9,0,0,0,0,3,0,9,0,9,0,0,0,1,74,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/instrumentation/FieldFetchingInstrumentationContext.java,graphql.execution.instrumentation.FieldFetchingInstrumentationContext,interface,8,13,5,8,6,1,0,0,4,0.5,0.0,0.0,4,2,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,30,3,0,2,0,0,0,0,1,0,1,1,2,0,0,86,1,0
/tmp/ck-analysis/graphql-java_graphql-java/performance-results-page/src/main/java/graphql/performance/page/Main.java,graphql.performance.page.Main,class,5,5,0,5,9,1,0,31,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,45,0,2,2,1,1,21,9,12,9,15,2,0,0,2,49,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/schema/idl/errors/TypeRedefinitionError.java,graphql.schema.idl.errors.TypeRedefinitionError,class,3,4,1,3,1,3,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/NonNullableFieldWasNullError.java,graphql.execution.NonNullableFieldWasNullError,class,7,8,1,7,8,1,0,5,18,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,2,29,7,0,0,0,0,4,0,2,2,2,0,0,0,0,41,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/test/groovy/graphql/validation/Harness.java,graphql.validation.Harness,class,17,17,0,17,0,1,0,38,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,16,16,15,1,0,0,0,0,49,18,0,0,0,0,0,58,0,16,0,18,0,0,0,2,41,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/execution/incremental/StreamedCall.java,graphql.execution.incremental.StreamedCall,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,1,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/util/IntraThreadMemoizedSupplier.java,graphql.util.IntraThreadMemoizedSupplier,class,3,4,1,3,3,1,0,2,0,0.33333334,0.0,0.0,2,0,1,0,0,1,2,0,0,0,3,1,0,3,0,0,2,0,1,18,1,0,1,0,0,1,0,6,0,4,1,1,0,0,42,0,0
/tmp/ck-analysis/graphql-java_graphql-java/src/main/java/graphql/GraphQLUnusualConfiguration.java,graphql.GraphQLUnusualConfiguration,class,5,10,5,5,4,7,0,0,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,177,3,0,0,0,0,0,0,0,0,0,0,0,9,0,66,1,0
