file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/support/result/AbstractWordResultHandler.java,com.github.houbb.sensitive.word.support.result.AbstractWordResultHandler,"handle/3[com.github.houbb.sensitive.word.api.IWordResult,com.github.houbb.sensitive.word.api.IWordContext,java.lang.String]",false,18,4,1,0,1,2,1,6,2,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,1,0,false
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/support/result/AbstractWordResultHandler.java,com.github.houbb.sensitive.word.support.result.AbstractWordResultHandler,"doHandle/3[com.github.houbb.sensitive.word.api.IWordResult,com.github.houbb.sensitive.word.api.IWordContext,java.lang.String]",false,15,3,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1028,0,false
/tmp/ck-analysis/houbb_sensitive-word/src/test/java/com/github/houbb/sensitive/word/data/DictNumTest.java,com.github.houbb.sensitive.word.data.DictNumTest,formatTest/0,false,28,3,1,0,1,1,3,7,0,4,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,8,1,0,true
/tmp/ck-analysis/houbb_sensitive-word/src/test/java/com/github/houbb/sensitive/word/bugs/b20211211/MyWordDeny.java,com.github.houbb.sensitive.word.bugs.b20211211.MyWordDeny,deny/0,false,11,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/api/IWordReplace.java,com.github.houbb.sensitive.word.api.IWordReplace,"replace/4[java.lang.StringBuilder,java.lang.String,com.github.houbb.sensitive.word.api.IWordResult,com.github.houbb.sensitive.word.api.IWordContext]",false,11,2,1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/tmp/ck-analysis/houbb_sensitive-word/src/test/java/com/github/houbb/sensitive/word/bugs/b32/MyWordDenyChineseTest.java,com.github.houbb.sensitive.word.bugs.b32.MyWordDenyChineseTest,test/0,false,12,5,8,0,8,1,10,8,0,3,0,10,0,0,0,0,0,0,4,0,3,0,0,0,0,0,12,1,0,false
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/support/data/WordDatas.java,com.github.houbb.sensitive.word.support.data.WordDatas,defaults/0,false,20,2,2,1,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,true
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/support/data/WordDatas.java,com.github.houbb.sensitive.word.support.data.WordDatas,tree/0,false,29,2,4,3,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,true
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/support/data/WordDatas.java,com.github.houbb.sensitive.word.support.data.WordDatas,WordDatas/0,true,13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/utils/InnerWordFormatUtils.java,com.github.houbb.sensitive.word.utils.InnerWordFormatUtils,"format/2[java.lang.String,com.github.houbb.sensitive.word.api.IWordContext]",false,31,2,4,2,2,3,7,14,2,6,2,7,0,0,1,0,0,0,0,1,6,0,1,0,0,0,15,9,0,true
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/utils/InnerWordFormatUtils.java,com.github.houbb.sensitive.word.utils.InnerWordFormatUtils,InnerWordFormatUtils/0,true,16,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/utils/InnerWordFormatUtils.java,com.github.houbb.sensitive.word.utils.InnerWordFormatUtils,"getMappingChar/2[java.util.Map<java.lang.Character,java.lang.Character>,char]",false,57,0,2,2,0,2,1,7,2,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,9,0,true
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/utils/InnerWordFormatUtils.java,com.github.houbb.sensitive.word.utils.InnerWordFormatUtils,"formatWordList/2[java.util.Collection<java.lang.String>,com.github.houbb.sensitive.word.api.IWordContext]",false,74,2,7,6,1,3,4,11,2,2,2,4,1,1,1,0,0,0,0,0,2,0,1,0,0,0,9,9,0,true
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/support/result/WordResultHandlerRaw.java,com.github.houbb.sensitive.word.support.result.WordResultHandlerRaw,getInstance/0,false,20,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,false
/tmp/ck-analysis/houbb_sensitive-word/src/main/java/com/github/houbb/sensitive/word/support/result/WordResultHandlerRaw.java,com.github.houbb.sensitive.word.support.result.WordResultHandlerRaw,"doHandle/3[com.github.houbb.sensitive.word.api.IWordResult,com.github.houbb.sensitive.word.api.IWordContext,java.lang.String]",false,25,2,0,0,0,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
