file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/iflytek_astron-rpa/backend/rpa-auth/src/main/java/com/iflytek/rpa/auth/core/entity/UserEnableDto.java,com.iflytek.rpa.auth.core.entity.UserEnableDto,class,2,6,4,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/robot-service/src/main/java/com/iflytek/rpa/market/entity/vo/AppUpdateCheckVo.java,com.iflytek.rpa.market.entity.vo.AppUpdateCheckVo,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/robot-service/src/main/java/com/iflytek/rpa/market/service/AppMarketUserService.java,com.iflytek.rpa.market.service.AppMarketUserService,interface,4,5,1,4,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/robot-service/src/main/java/com/iflytek/rpa/utils/response/QuotaCodeEnum.java,com.iflytek.rpa.utils.response.QuotaCodeEnum,enum,0,1,1,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,0,0,0,13,2,0,0,0,0,10,0,2,0,2,0,0,0,0,27,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/robot-service/src/main/java/com/iflytek/rpa/agent/service/impl/AgentServiceImpl.java,com.iflytek.rpa.agent.service.impl.AgentServiceImpl,class,14,15,1,14,19,1,0,36,0,0.38888887,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,90,9,0,8,0,0,10,3,31,2,33,1,0,0,1,41,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/rpa-auth/src/main/java/com/iflytek/rpa/auth/sp/casdoor/mapper/CasdoorPermissionMapper.java,com.iflytek.rpa.auth.sp.casdoor.mapper.CasdoorPermissionMapper,class,5,6,1,5,4,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,2,0,0,2,0,40,0,2,1,0,0,0,12,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/rpa-auth/src/main/java/com/iflytek/rpa/auth/conf/RequestLoggingFilter.java,com.iflytek.rpa.auth.conf.RequestLoggingFilter,class,12,13,1,12,24,2,0,34,45,0.90000004,0.0,0.0,10,0,0,7,3,0,3,0,0,0,7,7,0,7,0,0,7,0,5,95,16,0,6,2,1,21,5,27,4,25,2,0,0,0,91,1,3
/tmp/ck-analysis/iflytek_astron-rpa/backend/robot-service/src/main/java/com/iflytek/rpa/base/service/impl/CParamServiceImpl.java,com.iflytek.rpa.base.service.impl.CParamServiceImpl,class,26,27,1,26,49,1,0,59,0,0.68253964,0.0,0.0,9,0,6,3,0,0,6,0,0,0,7,0,0,7,0,0,5,0,5,190,7,3,16,0,0,18,4,45,2,51,2,0,0,0,79,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/robot-service/src/main/java/com/iflytek/rpa/component/service/impl/ComponentRobotUseServiceImpl.java,com.iflytek.rpa.component.service.impl.ComponentRobotUseServiceImpl,class,27,28,1,27,43,2,0,51,24,0.7638889,0.0,0.0,12,1,8,4,0,0,8,0,0,0,6,0,0,6,0,0,0,0,1,189,11,1,19,0,0,21,4,50,0,56,2,0,0,0,71,1,0
/tmp/ck-analysis/iflytek_astron-rpa/backend/robot-service/src/main/java/com/iflytek/rpa/market/entity/vo/AppMarketUserVo.java,com.iflytek.rpa.market.entity.vo.AppMarketUserVo,class,2,4,2,2,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,0
