file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,checkDumpAndUpdateLines/0,false,413,3,5,3,2,7,12,35,4,6,0,12,1,1,1,3,0,0,3,6,15,1,2,0,0,0,56,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,removeDuplicates/0,false,364,2,4,1,3,6,9,17,0,1,0,9,2,2,1,0,0,0,1,1,3,0,3,0,0,0,20,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,"saveFile/2[java.lang.String,java.io.File]",false,344,1,1,0,1,7,7,12,2,1,2,7,0,0,0,1,0,0,1,0,1,0,1,0,0,0,20,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,saveKeysToTemp/0,false,273,2,6,2,4,4,11,21,3,4,0,11,1,2,0,0,0,0,2,0,5,1,1,0,0,0,37,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onCreateOptionsMenu/1[de.syss.MifareClassicTool.Activities.Menu],false,151,1,0,0,0,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,shareKeyFile/0,false,243,2,3,1,2,4,4,7,1,1,0,4,1,3,0,1,0,0,0,0,1,0,1,0,0,0,40,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,setKeyArrayAsText/1[java.lang.String[]],false,388,0,3,3,0,2,3,10,0,3,1,3,0,0,1,0,0,0,1,3,3,2,1,0,0,0,22,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onSave/0,false,306,6,4,1,3,2,18,14,1,8,0,18,1,2,0,0,0,0,0,1,5,0,1,0,0,2,38,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onBackPressed/0,false,187,1,0,0,0,2,10,17,0,6,0,10,0,0,0,0,0,0,0,0,1,0,2,0,0,3,26,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onOptionsItemSelected/1[de.syss.MifareClassicTool.Activities.MenuItem],false,163,2,4,0,4,5,6,20,5,1,1,6,4,6,0,4,0,0,0,0,1,0,1,0,0,0,22,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,exportKeys/0,false,257,3,2,1,1,4,6,10,1,2,0,6,1,3,0,1,0,0,0,0,2,0,1,0,0,0,25,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onSaveFailure/0,false,231,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onSaveSuccessful/0,false,219,0,0,0,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,28,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onCreate/1[de.syss.MifareClassicTool.Activities.Bundle],false,78,5,2,0,2,6,19,40,1,3,1,19,1,1,0,3,0,0,6,0,9,1,3,1,0,0,54,4,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/KeyEditor.java,de.syss.MifareClassicTool.Activities.KeyEditor,onSaveInstanceState/1[de.syss.MifareClassicTool.Activities.Bundle],false,139,1,0,0,0,1,4,7,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,4,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/Preferences.java,de.syss.MifareClassicTool.Activities.Preferences$Preference,toString/0,false,79,1,12,12,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/Preferences.java,de.syss.MifareClassicTool.Activities.Preferences$Preference,Preference/1[java.lang.String],true,73,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,false
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,onHideIdenticalChanged/1[de.syss.MifareClassicTool.Activities.View],false,297,2,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,"onActivityResult/3[int,int,de.syss.MifareClassicTool.Activities.Intent]",false,103,2,2,0,2,5,5,21,0,2,3,5,2,2,0,2,0,0,0,0,4,0,2,0,0,0,34,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,onChooseDump1/1[de.syss.MifareClassicTool.Activities.View],false,277,3,1,0,1,1,2,4,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,30,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,runDiff/0,false,135,6,6,3,3,22,20,87,0,17,0,20,0,0,6,12,0,0,7,26,23,4,5,0,0,0,42,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,prepareFileChooserForDump/0,false,338,3,3,2,1,1,4,7,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,processChosenDump/1[de.syss.MifareClassicTool.Activities.Intent],false,317,4,5,1,4,2,5,13,2,4,1,5,1,1,0,1,0,0,0,1,4,0,1,0,0,0,49,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,convertDumpFormat/1[java.lang.String[]],false,358,1,2,2,0,4,5,22,1,4,1,5,0,0,1,0,0,0,2,7,7,1,3,0,0,0,37,10,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,onChooseDump2/1[de.syss.MifareClassicTool.Activities.View],false,288,3,2,1,1,1,2,4,0,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,30,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/DiffTool.java,de.syss.MifareClassicTool.Activities.DiffTool,onCreate/1[de.syss.MifareClassicTool.Activities.Bundle],false,72,2,3,0,3,2,11,15,0,0,1,11,3,2,0,0,0,0,0,0,5,0,1,0,0,0,49,4,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,onNewIntent/1[de.syss.MifareClassicTool.Activities.Intent],false,728,3,3,1,2,4,5,14,0,2,1,5,0,0,0,3,0,0,0,2,2,0,2,0,0,0,31,1,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,onShowAboutDialog/0,false,844,3,2,1,1,1,12,8,0,4,0,12,0,0,0,0,0,1,0,0,2,0,1,0,0,1,15,2,0,true
/tmp/ck-analysis/ikarus23_MifareClassicTool/Mifare Classic Tool/app/src/main/java/de/syss/MifareClassicTool/Activities/MainMenu.java,de.syss.MifareClassicTool.Activities.MainMenu,setTheme/0,false,339,3,3,1,2,4,4,18,0,2,0,4,0,0,0,0,0,0,0,4,3,0,1,0,0,0,19,2,0,true
