file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-examples/src/main/java/jme3test/effect/TestSoftParticles.java,jme3test.effect.TestSoftParticles$Anonymous1,anonymous,0,0,0,0,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,0,0,2,0,0,0,8,-1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-examples/src/main/java/jme3test/post/TestRenderToMemory.java,jme3test.post.TestRenderToMemory,class,18,19,1,18,15,6,0,32,87,0.9107142,0.0,0.0,14,1,14,0,0,0,14,0,0,0,7,1,0,7,0,0,3,0,2,123,1,0,1,0,0,3,21,16,1,15,1,1,1,0,100,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-examples/src/main/java/jme3test/effect/TestSoftParticles.java,jme3test.effect.TestSoftParticles$Anonymous2,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,-1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-core/src/plugins/java/com/jme3/export/binary/BinaryLoader.java,com.jme3.export.binary.BinaryLoader,class,5,5,0,5,3,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,18,1,0,1,1,0,0,0,3,0,2,1,0,0,0,21,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-terrain/src/main/java/com/jme3/terrain/geomipmap/lodcalc/LodCalculator.java,com.jme3.terrain.geomipmap.lodcalc.LodCalculator,interface,5,14,9,5,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-core/src/main/java/com/jme3/input/event/MouseMotionEvent.java,com.jme3.input.event.MouseMotionEvent,class,1,4,3,1,8,2,0,0,2,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,32,7,0,0,0,0,7,0,6,1,6,0,0,0,0,37,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-plugins/src/fbx/java/com/jme3/scene/plugins/fbx/material/FbxImage.java,com.jme3.scene.plugins.fbx.material.FbxImage,class,11,15,4,11,31,1,0,20,18,0.75,0.0,0.0,8,1,5,2,1,0,6,0,0,0,6,1,0,1,5,0,1,0,3,112,6,1,11,2,0,10,14,26,5,13,5,0,0,0,70,17,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-networking/src/main/java/com/jme3/network/kernel/Endpoint.java,com.jme3.network.kernel.Endpoint,interface,2,8,6,2,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-core/src/main/java/com/jme3/opencl/Platform.java,com.jme3.opencl.Platform,interface,2,4,2,2,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-core/src/test/java/com/jme3/math/FastMathTest.java,com.jme3.math.FastMathTest,class,7,8,1,7,62,1,0,44,1485,0.9818182,0.0,0.0,55,2,52,3,0,0,52,0,0,0,1,0,1,0,0,0,0,0,10,641,3,3,3,4,4,4,868,215,9,215,1,0,0,0,176,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-networking/src/main/java/com/jme3/network/serializing/serializers/SavableSerializer.java,com.jme3.network.serializing.serializers.SavableSerializer,class,10,10,0,10,2,4,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,49,1,0,0,0,0,1,0,6,0,6,0,0,2,0,26,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-core/src/main/java/com/jme3/animation/Pose.java,com.jme3.animation.Pose,class,9,11,2,9,12,1,0,18,0,0.54761904,0.0,0.0,7,0,6,0,1,0,7,0,0,0,6,0,0,6,0,0,2,0,1,63,2,2,2,1,0,10,6,21,0,14,3,0,0,0,78,17,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-examples/src/main/java/jme3test/awt/TestAwtPanels.java,jme3test.awt.TestAwtPanels$Anonymous2,anonymous,2,2,0,2,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,1,0,0,7,3,0,1,1,0,0,0,15,-1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-examples/src/main/java/jme3test/awt/TestAwtPanels.java,jme3test.awt.TestAwtPanels$Anonymous1,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,-1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-examples/src/main/java/jme3test/helloworld/HelloCollision.java,jme3test.helloworld.HelloCollision,class,15,16,1,15,19,2,0,36,9,0.7083333,0.0,0.0,6,1,4,2,0,0,4,0,0,0,5,0,0,5,0,0,3,0,0,111,0,0,0,0,0,17,26,24,0,16,2,0,0,0,130,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-networking/src/main/java/com/jme3/network/kernel/EndpointEvent.java,com.jme3.network.kernel.EndpointEvent,class,4,8,4,4,7,1,0,0,0,0.5238095,0.0,0.0,7,2,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,29,6,0,0,0,0,3,0,3,1,3,0,0,1,0,30,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-examples/src/main/java/jme3test/light/TestManyLightsSingle.java,jme3test.light.TestManyLightsSingle,class,21,23,2,21,12,3,0,42,4,0.625,0.0,0.0,4,1,3,0,1,0,4,0,0,0,2,0,0,2,0,0,0,0,0,153,0,1,2,0,0,18,50,24,3,22,3,1,1,0,103,1,0
/tmp/ck-analysis/jMonkeyEngine_jmonkeyengine/jme3-lwjgl/src/main/java/com/jme3/renderer/lwjgl/LwjglGLFboEXT.java,LwjglGLFboEXT,class,3,5,2,3,18,1,0,17,105,0.0,0.0,0.0,15,1,14,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,59,2,0,3,0,0,2,2,0,0,0,1,0,0,0,51,17,0
