file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ/src/main/java/org/jooq/Results.java,org.jooq.Results,interface,5,9,4,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,1,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ/src/main/java/org/jooq/util/mariadb/MariaDBDSL.java,org.jooq.util.mariadb.MariaDBDSL,class,4,5,1,4,30,2,0,16,378,0.0,0.0,0.0,28,27,27,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,13,92,29,0,0,0,0,13,2,1,1,1,1,0,0,0,97,1,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ/src/main/java/org/jooq/impl/QOM.java,org.jooq.impl.QOM$BinaryLength,interface,8,8,0,8,2,1,0,2,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ/src/main/java/org/jooq/impl/JSONValue.java,org.jooq.impl.JSONValue,class,13,15,2,13,46,2,0,37,353,0.86379933,0.0,0.0,31,0,27,1,0,3,30,0,28,0,9,0,0,0,0,9,3,0,8,161,28,0,3,0,1,7,0,20,0,19,2,0,0,1,53,16,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ/src/main/java/org/jooq/util/xml/jaxb/TriggerEventManipulation.java,org.jooq.util.xml.jaxb.TriggerEventManipulation,enum,3,5,2,3,2,1,0,2,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,41,1,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ/src/main/java/org/jooq/LoaderXMLStep.java,org.jooq.LoaderXMLStep,interface,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ-meta/src/main/java/org/jooq/meta/firebird/rdb/tables/Rdb$indices.java,org.jooq.meta.firebird.rdb.tables.Rdb$indices,class,12,16,4,12,13,2,0,9,58,0.90625006,0.0,0.0,12,0,10,2,0,0,10,0,0,0,16,2,14,2,0,0,15,0,1,55,6,0,1,0,0,31,4,16,0,16,1,0,0,0,48,1,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ/src/main/java/org/jooq/impl/DefaultBinding.java,org.jooq.impl.DefaultBinding$DefaultDoubleBinding,innerclass,18,18,0,18,29,2,0,33,91,0.9285714,0.0,0.0,14,4,1,0,0,13,14,0,13,0,1,1,0,0,0,1,1,0,7,70,15,0,2,1,0,12,8,1,0,1,4,0,0,8,50,24,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ-meta/src/main/java/org/jooq/meta/hsqldb/information_schema/tables/SystemSynonyms.java,org.jooq.meta.hsqldb.information_schema.tables.SystemSynonyms,class,8,11,3,8,11,2,0,7,43,0.90000004,0.0,0.0,10,0,8,2,0,0,8,0,0,0,9,2,8,1,0,0,9,0,0,41,5,0,0,0,0,20,8,9,0,9,0,0,0,0,59,1,0
/tmp/ck-analysis/jOOQ_jOOQ/jOOQ-meta/src/main/java/org/jooq/meta/h2/information_schema/tables/Views.java,org.jooq.meta.h2.information_schema.tables.Views,class,9,12,3,9,12,2,0,4,60,0.90909094,0.0,0.0,12,0,10,2,0,0,10,0,0,0,11,2,10,1,0,0,11,0,0,49,6,0,0,0,0,23,1,11,0,11,0,0,0,0,61,1,0
