file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/model/req/AgentRequest.java,com.jd.genie.model.req.AgentRequest,class,5,18,13,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,0,0,1,0,18,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/llm/LLM.java,com.jd.genie.agent.llm.LLM$OpenAIFunction,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,9,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/dto/DeepSearchrResponse.java,com.jd.genie.agent.dto.DeepSearchrResponse,class,5,6,1,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,2,0,16,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/dto/tool/ToolResult.java,com.jd.genie.agent.dto.tool.ToolResult$ExecutionStatus,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/data/sql/dialect/ClickHouseSqlDialect2.java,com.jd.genie.data.sql.dialect.ClickHouseSqlDialect2,class,5,6,1,5,3,2,0,3,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,14,1,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/data/dto/VectorSaveReq.java,com.jd.genie.data.dto.VectorSaveReq,class,2,4,2,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/model/multi/EventResult.java,com.jd.genie.model.multi.EventResult$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,-1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/model/multi/EventResult.java,com.jd.genie.model.multi.EventResult$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/tool/common/ReportTool.java,com.jd.genie.agent.tool.common.ReportTool,class,13,16,3,13,10,1,0,52,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,7,140,8,0,0,2,0,29,7,28,1,29,2,1,0,0,62,1,4
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/model/multi/EventResult.java,com.jd.genie.model.multi.EventResult$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/service/impl/ReactHandlerImpl.java,com.jd.genie.service.impl.ReactHandlerImpl,class,13,13,0,13,4,1,0,22,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,28,2,0,0,0,0,6,0,5,0,7,2,0,0,1,27,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/model/multi/EventResult.java,com.jd.genie.model.multi.EventResult$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/data/jdbc/catalog/clickhouse/ClickhouseCatalog.java,com.jd.genie.data.jdbc.catalog.clickhouse.ClickhouseCatalog,class,4,5,1,4,7,2,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,33,3,1,0,2,0,7,0,7,2,6,2,0,0,0,43,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/util/OkHttpUtil.java,com.jd.genie.agent.util.OkHttpUtil,class,12,17,5,12,21,1,0,31,6,0.6666667,0.0,0.0,8,8,7,1,0,0,7,0,0,0,3,3,0,3,0,0,1,0,8,109,7,2,7,2,0,7,9,19,1,19,3,1,1,0,61,1,2
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/dto/CodeInterpreterRequest.java,com.jd.genie.agent.dto.CodeInterpreterRequest$FileInfo,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,9,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/dto/tool/ToolCall.java,com.jd.genie.agent.dto.tool.ToolCall,class,5,14,9,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,1,0,6,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/data/jdbc/dialect/mysql/MysqlDialect.java,com.jd.genie.data.jdbc.dialect.mysql.MysqlDialect,class,2,3,1,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,5,0,1,0,1,0,0,0,0,10,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/model/multi/EventResult.java,com.jd.genie.model.multi.EventResult$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/service/ChatModelInfoService.java,com.jd.genie.service.ChatModelInfoService,class,30,34,4,30,36,2,0,105,34,0.8214286,0.0,0.0,12,0,7,5,0,0,7,0,0,0,7,0,0,0,0,7,0,0,9,205,14,7,1,1,0,24,11,55,7,58,3,1,0,2,105,1,6
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/service/ChatModelSchemaService.java,com.jd.genie.service.ChatModelSchemaService,class,8,12,4,8,29,2,0,56,45,0.0,0.0,0.0,10,1,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,108,16,3,0,0,0,8,7,17,0,16,3,1,0,0,48,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/data/jdbc/connection/JdbcConnectionPoolFactory.java,com.jd.genie.data.jdbc.connection.JdbcConnectionPoolFactory,class,11,14,3,11,16,1,0,42,1,0.75,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,2,1,1,0,0,2,0,3,66,2,2,9,0,1,2,1,8,1,8,1,0,0,0,46,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/service/EmbeddingService.java,com.jd.genie.service.EmbeddingService$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/tool/common/DataAnalysisTool.java,com.jd.genie.agent.tool.common.DataAnalysisTool,class,13,16,3,13,9,1,0,41,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,6,132,7,0,0,2,0,32,4,23,1,24,1,1,0,0,56,1,3
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/dto/CodeInterpreterRequest.java,com.jd.genie.agent.dto.CodeInterpreterRequest,class,5,7,2,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,12,0,0,1,0,20,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/dto/Message.java,com.jd.genie.agent.dto.Message,class,7,16,9,7,5,1,0,7,0,0.35999998,0.0,0.0,5,5,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,5,0,0,0,0,16,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/dto/tool/McpToolInfo.java,com.jd.genie.agent.dto.tool.McpToolInfo,class,4,5,1,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/data/dto/ColumnEsRecallReq.java,com.jd.genie.data.dto.ColumnEsRecallReq,class,1,3,2,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,3,0,0,0,0,9,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/tool/common/PlanningTool.java,com.jd.genie.agent.tool.common.PlanningTool,class,7,9,2,7,34,1,0,30,139,0.8596491,0.0,0.0,19,0,7,12,0,0,7,0,0,0,3,0,0,3,0,0,1,0,8,155,19,1,9,0,1,77,1,26,1,26,2,0,0,0,74,1,0
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/agent/tool/common/FileTool.java,com.jd.genie.agent.tool.common.FileTool,class,18,21,3,18,27,1,0,67,9,0.42857143,0.0,0.0,7,0,6,1,0,0,6,0,0,0,1,0,0,1,0,0,0,0,10,167,17,0,3,4,0,66,13,50,5,50,3,0,0,0,70,1,13
/tmp/ck-analysis/jd-opensource_joyagent-jdgenie/genie-backend/src/main/java/com/jd/genie/service/impl/MultiAgentServiceImpl.java,com.jd.genie.service.impl.MultiAgentServiceImpl$Anonymous1,anonymous,9,9,0,9,10,1,0,22,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,51,2,1,2,1,1,11,1,11,1,11,3,0,0,0,48,-1,8
