file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/dao/XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,queryLogReportTotal/0,false,24,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/dao/XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,"queryLogReport/2[java.util.Date,java.util.Date]",false,21,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/dao/XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,update/1[com.xxl.job.admin.core.model.XxlJobLogReport],false,19,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/dao/XxlJobLogReportDao.java,com.xxl.job.admin.dao.XxlJobLogReportDao,save/1[com.xxl.job.admin.core.model.XxlJobLogReport],false,17,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/config/mybatis/MybatisPlusSaasConfig.java,org.jeecg.config.mybatis.MybatisPlusSaasConfig$Anonymous1,getTenantId/0,false,100,5,3,0,3,4,4,14,1,1,0,4,0,0,0,0,1,0,1,0,3,0,2,0,0,0,9,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/config/mybatis/MybatisPlusSaasConfig.java,org.jeecg.config.mybatis.MybatisPlusSaasConfig$Anonymous1,getTenantIdColumn/0,false,117,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/config/mybatis/MybatisPlusSaasConfig.java,org.jeecg.config.mybatis.MybatisPlusSaasConfig$Anonymous1,ignoreTable/1[java.lang.String],false,123,0,0,0,0,3,1,8,2,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/controller/interceptor/PermissionInterceptor.java,com.xxl.job.admin.controller.interceptor.PermissionInterceptor,"preHandle/3[com.xxl.job.admin.controller.interceptor.HttpServletRequest,com.xxl.job.admin.controller.interceptor.HttpServletResponse,java.lang.Object]",false,27,7,5,0,5,7,10,26,3,5,3,10,0,0,0,3,0,1,3,2,7,1,2,0,0,0,24,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-module-demo/src/main/java/org/jeecg/modules/demo/test/service/impl/JeecgOrderCustomerServiceImpl.java,org.jeecg.modules.demo.test.service.impl.JeecgOrderCustomerServiceImpl,selectCustomersByMainId/1[java.lang.String],false,26,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/app/service/impl/AiragVariableServiceImpl.java,org.jeecg.modules.airag.app.service.impl.AiragVariableServiceImpl,"updateVariable/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,118,0,0,0,0,4,3,7,1,1,4,3,0,0,0,0,0,0,1,0,1,1,1,0,0,0,18,1,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/app/service/impl/AiragVariableServiceImpl.java,org.jeecg.modules.airag.app.service.impl.AiragVariableServiceImpl,"initVariable/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,48,0,0,0,0,5,3,7,1,1,4,3,0,0,0,1,0,0,2,0,1,1,1,0,0,0,20,1,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/app/service/impl/AiragVariableServiceImpl.java,org.jeecg.modules.airag.app.service.impl.AiragVariableServiceImpl,"addUpdateVariableTool/3[org.jeecg.modules.airag.app.entity.AiragApp,java.lang.String,org.jeecg.modules.airag.app.service.impl.AIChatParams]",false,135,8,0,0,0,11,30,44,3,11,3,30,0,0,1,3,1,0,18,0,10,2,3,0,0,1,35,1,1,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/app/service/impl/AiragVariableServiceImpl.java,org.jeecg.modules.airag.app.service.impl.AiragVariableServiceImpl,"additionalPrompt/2[java.lang.String,org.jeecg.modules.airag.app.entity.AiragApp]",false,64,2,0,0,0,11,16,35,4,9,2,16,0,0,1,4,0,0,5,0,12,3,3,0,0,0,31,1,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-base-core/src/main/java/org/jeecg/common/handler/IFillRuleHandler.java,org.jeecg.common.handler.IFillRuleHandler,"execute/2[org.jeecg.common.handler.JSONObject,org.jeecg.common.handler.JSONObject]",false,13,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/llm/service/impl/AiragFlowPluginServiceImpl.java,org.jeecg.modules.airag.llm.service.impl.AiragFlowPluginServiceImpl,"buildMetadata/2[int,java.lang.String]",false,113,1,1,1,0,1,3,9,1,1,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,12,2,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/llm/service/impl/AiragFlowPluginServiceImpl.java,org.jeecg.modules.airag.llm.service.impl.AiragFlowPluginServiceImpl,"getInputParameter/2[org.jeecg.modules.airag.llm.service.impl.AiragFlow,org.jeecg.modules.airag.llm.service.impl.SubFlowResult]",false,158,5,1,1,0,7,17,36,1,10,2,17,0,0,1,2,0,0,0,0,10,0,4,0,0,1,24,2,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/llm/service/impl/AiragFlowPluginServiceImpl.java,org.jeecg.modules.airag.llm.service.impl.AiragFlowPluginServiceImpl,"getOutputParameter/2[org.jeecg.modules.airag.llm.service.impl.AiragFlow,org.jeecg.modules.airag.llm.service.impl.SubFlowResult]",false,202,4,1,1,0,3,6,12,1,4,2,6,0,0,0,0,0,0,0,0,4,0,2,0,0,0,15,2,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/llm/service/impl/AiragFlowPluginServiceImpl.java,org.jeecg.modules.airag.llm.service.impl.AiragFlowPluginServiceImpl,getFlowsToPlugin/1[java.lang.String],false,43,10,6,0,6,5,34,49,2,16,1,34,4,1,1,0,1,0,12,1,17,2,3,0,0,0,48,1,4,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/llm/service/impl/AiragFlowPluginServiceImpl.java,org.jeecg.modules.airag.llm.service.impl.AiragFlowPluginServiceImpl,"buildParameter/6[org.jeecg.modules.airag.llm.service.impl.JSONArray,org.jeecg.modules.airag.llm.service.impl.JSONArray,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,133,2,1,1,0,2,5,19,1,2,6,5,0,0,0,0,0,0,0,0,3,1,1,0,0,0,17,2,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-biz/src/main/java/org/jeecg/modules/oss/service/IOssFileService.java,org.jeecg.modules.oss.service.IOssFileService,upload/1[org.jeecg.modules.oss.service.MultipartFile],false,15,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-biz/src/main/java/org/jeecg/modules/oss/service/IOssFileService.java,org.jeecg.modules.oss.service.IOssFileService,delete/1[org.jeecg.modules.oss.entity.OssFile],false,22,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-start/src/main/java/org/jeecg/codegenerate/JeecgOneToMainUtil.java,org.jeecg.codegenerate.JeecgOneToMainUtil,main/1[java.lang.String[]],false,24,3,0,0,0,2,9,29,0,4,1,9,0,0,0,0,1,0,14,0,4,0,1,0,0,0,18,9,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-test/jeecg-cloud-test-seata/jeecg-cloud-test-seata-product/src/main/java/org/jeecg/modules/test/seata/product/service/impl/SeataProductServiceImpl.java,org.jeecg.modules.test.seata.product.service.impl.SeataProductServiceImpl,"reduceStock/2[java.lang.Long,java.lang.Integer]",false,38,3,0,0,0,2,10,20,1,4,2,10,0,0,0,0,0,0,10,0,4,2,1,0,0,0,33,1,7,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-boot-module/jeecg-boot-module-airag/src/main/java/org/jeecg/modules/airag/llm/mapper/AiragKnowledgeDocMapper.java,org.jeecg.modules.airag.llm.mapper.AiragKnowledgeDocMapper,deleteByMainId/1[java.lang.String],false,15,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/thread/JobRegistryHelper.java,com.xxl.job.admin.core.thread.JobRegistryHelper,start/0,false,32,0,2,1,1,1,3,80,0,0,0,3,0,0,0,0,0,0,1,4,2,0,0,3,0,0,58,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/thread/JobRegistryHelper.java,com.xxl.job.admin.core.thread.JobRegistryHelper,getInstance/0,false,24,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/thread/JobRegistryHelper.java,com.xxl.job.admin.core.thread.JobRegistryHelper,freshGroupRegistryInfo/1[com.xxl.job.admin.core.thread.RegistryParam],false,199,1,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/thread/JobRegistryHelper.java,com.xxl.job.admin.core.thread.JobRegistryHelper,registry/1[com.xxl.job.admin.core.thread.RegistryParam],false,149,2,2,1,1,4,5,16,2,0,1,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/thread/JobRegistryHelper.java,com.xxl.job.admin.core.thread.JobRegistryHelper,toStop/0,false,131,0,1,1,0,2,5,11,0,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,1,1,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-server-cloud/jeecg-visual/jeecg-cloud-xxljob/src/main/java/com/xxl/job/admin/core/thread/JobRegistryHelper.java,com.xxl.job.admin.core.thread.JobRegistryHelper,registryRemove/1[com.xxl.job.admin.core.thread.RegistryParam],false,175,2,2,1,1,4,5,15,2,0,1,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,10,1,0,false
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-biz/src/main/java/org/jeecg/modules/system/mapper/SysLogMapper.java,org.jeecg.modules.system.mapper.SysLogMapper,"findTodayIp/2[java.util.Date,java.util.Date]",false,42,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-biz/src/main/java/org/jeecg/modules/system/mapper/SysLogMapper.java,org.jeecg.modules.system.mapper.SysLogMapper,findTotalVisitCount/0,false,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-biz/src/main/java/org/jeecg/modules/system/mapper/SysLogMapper.java,org.jeecg.modules.system.mapper.SysLogMapper,"findTodayVisitCount/2[java.util.Date,java.util.Date]",false,34,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-biz/src/main/java/org/jeecg/modules/system/mapper/SysLogMapper.java,org.jeecg.modules.system.mapper.SysLogMapper,"findVisitCount/3[java.util.Date,java.util.Date,java.lang.String]",false,50,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,true
/tmp/ck-analysis/jeecgboot_JeecgBoot/jeecg-boot/jeecg-module-system/jeecg-system-biz/src/main/java/org/jeecg/modules/system/mapper/SysLogMapper.java,org.jeecg.modules.system.mapper.SysLogMapper,removeAll/0,false,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
