file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/config/CustomCorsConfiguration.java,com.jeecg.modules.jmreport.config.CustomCorsConfiguration,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,1,0
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/extend/JimuReportTokenServiceImpl.java,com.jeecg.modules.jmreport.extend.JimuReportTokenServiceImpl,class,9,9,0,9,18,1,0,18,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,1,68,8,0,3,3,0,18,0,9,0,5,4,0,0,0,44,1,4
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/JimuReportApplication.java,com.jeecg.JimuReportApplication,class,5,6,1,5,3,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,18,0,5,2,5,1,0,0,0,22,1,0
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/controller/LoginController.java,com.jeecg.modules.jmreport.controller.LoginController,class,12,13,1,12,6,1,0,15,2,0.5833333,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,1,1,1,0,1,1,0,1,30,5,0,0,0,0,18,0,2,4,3,1,0,0,0,27,1,4
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/extend/JimuDragExternalServiceImpl.java,com.jeecg.modules.jmreport.extend.JimuDragExternalServiceImpl,class,13,13,0,13,7,1,0,12,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,57,2,0,0,0,0,4,0,15,0,22,3,0,0,5,46,1,0
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/satoken/util/AjaxRequestUtils.java,com.jeecg.modules.jmreport.satoken.util.AjaxRequestUtils,class,5,8,3,5,12,1,0,16,1,0.33333334,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,1,39,5,0,4,0,1,16,0,6,0,6,1,0,0,0,48,1,1
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/testdb/TestRpSpringBean.java,com.jeecg.modules.jmreport.testdb.TestRpSpringBean,class,4,4,0,4,3,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,36,3,10,2,10,1,0,0,0,19,1,2
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/satoken/config/SecurityConfig.java,com.jeecg.modules.jmreport.satoken.config.SecurityConfig,class,4,6,2,4,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,2,0,3,0,2,0,0,0,0,13,1,0
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/satoken/config/vo/User.java,com.jeecg.modules.jmreport.satoken.config.vo.User,class,0,2,2,0,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,1,0
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/satoken/config/RedisConfig.java,com.jeecg.modules.jmreport.satoken.config.RedisConfig,class,10,11,1,10,2,1,0,10,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,1,0,4,0,4,0,0,0,0,20,1,1
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/satoken/StpInterfaceImpl.java,com.jeecg.modules.jmreport.satoken.StpInterfaceImpl,class,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,8,0,2,0,2,0,0,0,0,11,1,0
/tmp/ck-analysis/jeecgboot_jimureport/jimureport-example/src/main/java/com/jeecg/modules/jmreport/satoken/SaTokenConfigure.java,com.jeecg.modules.jmreport.satoken.SaTokenConfigure,class,7,7,0,7,2,1,0,18,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,14,0,0,2,3,1,0,0,3,26,1,2
