file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/jenkinsci_jenkins/test/src/test/java/jenkins/widgets/BuildListTableTest.java,jenkins.widgets.BuildListTableTest,class,12,12,0,12,2,1,0,21,0,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,2,35,0,0,0,0,0,12,4,16,2,12,0,0,0,0,45,0,0
/tmp/ck-analysis/jenkinsci_jenkins/core/src/test/java/jenkins/model/queue/CompositeCauseOfBlockageTest.java,jenkins.model.queue.CompositeCauseOfBlockageTest$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/tmp/ck-analysis/jenkinsci_jenkins/test/src/test/java/hudson/util/AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,class,5,12,1,11,4,1,0,23,1,0.33333334,0.0,0.0,3,1,0,1,0,2,2,0,0,0,2,0,0,2,0,0,1,0,10,39,1,0,0,1,0,8,2,9,2,10,1,0,0,1,38,0,0
/tmp/ck-analysis/jenkinsci_jenkins/core/src/test/java/hudson/util/ProcessTreeTest.java,hudson.util.ProcessTreeTest$ProcessCallableImpl,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0
/tmp/ck-analysis/jenkinsci_jenkins/core/src/main/java/hudson/model/UserPropertyDescriptor.java,hudson.model.UserPropertyDescriptor,class,10,41,31,10,12,2,22,12,21,0.0,0.0,0.0,7,0,4,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,2,38,7,1,2,0,0,0,0,3,0,4,5,0,0,1,137,1025,0
/tmp/ck-analysis/jenkinsci_jenkins/core/src/main/java/hudson/Functions.java,hudson.Functions$ThreadGroupMap,innerclass,1,1,0,1,3,2,0,5,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,11,2,0,1,0,0,0,2,3,0,2,1,0,0,0,23,9,0
/tmp/ck-analysis/jenkinsci_jenkins/core/src/main/java/hudson/slaves/NodeProperty.java,hudson.slaves.NodeProperty,class,23,34,11,23,13,1,0,14,53,0.8181818,0.0,0.0,11,2,9,1,1,0,10,0,0,0,1,0,0,0,1,0,0,0,3,42,10,0,1,0,0,1,0,1,0,1,1,1,0,0,216,1025,0
/tmp/ck-analysis/jenkinsci_jenkins/core/src/main/java/jenkins/model/DefaultUserCanonicalIdResolver.java,jenkins.model.DefaultUserCanonicalIdResolver$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
/tmp/ck-analysis/jenkinsci_jenkins/test/src/test/java/hudson/model/ParametersTest.java,hudson.model.ParametersTest,class,25,25,0,25,10,2,0,54,0,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,1,0,0,1,0,0,0,0,0,172,0,0,0,0,9,139,2,65,4,60,0,0,1,12,105,0,0
/tmp/ck-analysis/jenkinsci_jenkins/test/src/test/java/hudson/slaves/NodeProvisionerTest.java,hudson.slaves.NodeProvisionerTest,class,26,27,1,26,34,2,0,58,134,0.6,0.0,0.0,20,12,0,12,0,8,8,0,0,0,1,0,0,1,0,0,1,0,29,220,4,6,7,5,0,40,33,40,4,35,2,0,2,0,170,0,0
