file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/util/AnnotationHelper.java,org.jsonschema2pojo.util.AnnotationHelper,class,6,9,3,6,4,1,0,8,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,3,3,0,3,0,0,3,0,4,25,2,0,0,1,0,4,0,5,0,5,1,0,0,0,36,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/ConstructorsJavadocIT.java,org.jsonschema2pojo.integration.ConstructorsJavadocIT$IncludeCopyConstructorIT,innerclass,7,7,0,7,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,7,10,0,0,0,0,0,4,1,3,0,3,0,0,0,0,32,0,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/rules/PropertiesRule.java,org.jsonschema2pojo.rules.PropertiesRule,class,12,14,2,12,13,1,0,36,4,0.5,0.0,0.0,4,0,1,2,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,40,2,2,4,0,0,2,2,7,0,6,2,0,0,0,67,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-cli/src/test/java/org/jsonschema2pojo/cli/ClassConverterTest.java,org.jsonschema2pojo.cli.ClassConverterTest,class,4,4,0,4,3,1,0,7,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,0,0,0,0,0,3,0,2,0,2,0,0,0,2,23,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/ToStringIT.java,org.jsonschema2pojo.integration.ToStringIT,class,5,6,1,5,7,1,0,21,0,0.5,0.0,0.0,5,1,4,1,0,0,4,0,0,0,2,1,1,1,0,0,1,0,22,55,1,0,2,0,0,45,17,16,1,14,1,0,0,0,48,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/Jsonb2Annotator.java,org.jsonschema2pojo.Jsonb2Annotator,class,11,12,1,11,29,2,0,19,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,83,1,1,3,0,0,22,0,20,0,5,1,0,0,0,54,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-cli/src/main/java/org/jsonschema2pojo/cli/Jsonschema2PojoCLI.java,org.jsonschema2pojo.cli.Jsonschema2PojoCLI,class,3,3,0,3,3,1,0,6,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,1,2,0,2,1,0,0,0,51,17,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/ConstructorsJavadocIT.java,org.jsonschema2pojo.integration.ConstructorsJavadocIT$ConstructorWithAllPropertiesIT,innerclass,7,7,0,7,1,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,13,17,0,0,0,0,0,13,2,3,0,3,0,0,0,0,41,0,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/Annotator.java,org.jsonschema2pojo.Annotator,interface,5,20,15,5,17,1,0,0,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/config/IncludeConstructorPropertiesAnnotationIT.java,org.jsonschema2pojo.integration.config.IncludeConstructorPropertiesAnnotationIT,class,5,6,1,5,17,1,0,21,13,0.54545456,0.0,0.0,11,0,7,4,0,0,7,0,0,0,6,0,1,5,0,0,0,0,6,78,3,4,2,0,0,32,2,26,4,26,2,0,0,0,71,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-cli/src/main/java/org/jsonschema2pojo/cli/CommandLineLogger.java,org.jsonschema2pojo.cli.CommandLineLogger,class,3,4,1,3,19,2,0,10,36,0.75,0.0,0.0,12,0,7,0,5,0,12,0,0,0,2,1,1,1,0,0,2,0,3,94,5,0,2,0,0,2,0,4,1,4,1,0,2,0,59,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/Jackson3Annotator.java,org.jsonschema2pojo.Jackson3Annotator,class,3,5,2,3,2,4,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/ref/FragmentRefIT.java,org.jsonschema2pojo.integration.ref.FragmentRefIT,class,10,10,0,10,8,1,0,18,14,0.625,0.0,0.0,8,1,8,0,0,0,8,0,0,0,2,2,1,1,0,0,0,0,0,55,0,0,0,0,2,89,2,24,2,24,0,0,0,0,70,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/rules/EnumRule.java,org.jsonschema2pojo.rules.EnumRule,class,32,36,4,32,60,1,0,124,61,0.68421054,0.0,0.0,19,0,1,0,18,0,19,0,0,0,2,1,0,2,0,0,2,0,7,281,17,7,2,4,0,52,5,89,9,78,3,0,0,0,242,1,6
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/util/Inflector.java,org.jsonschema2pojo.util.Inflector$Builder,innerclass,3,3,0,3,6,1,0,4,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,27,5,1,0,0,0,0,2,3,0,3,1,0,0,0,16,9,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/config/IncludeGeneratedAnnotationIT.java,org.jsonschema2pojo.integration.config.IncludeGeneratedAnnotationIT,class,5,5,0,5,3,1,0,6,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,1,0,11,22,0,0,0,0,0,21,0,8,0,8,0,0,0,0,38,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/DollarCommentIT.java,org.jsonschema2pojo.integration.DollarCommentIT,class,10,10,0,10,6,1,0,14,0,0.41666666,0.0,0.0,6,1,6,0,0,0,6,0,0,0,2,2,1,1,0,0,0,0,2,37,0,0,0,0,0,16,0,14,0,14,0,0,0,0,55,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/JacksonViewIT.java,org.jsonschema2pojo.integration.JacksonViewIT,class,7,8,1,7,2,1,0,12,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,16,1,0,0,0,0,8,1,6,0,6,0,0,0,0,31,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/ref/ClasspathRefIT.java,org.jsonschema2pojo.integration.ref.ClasspathRefIT,class,4,4,0,4,5,1,0,11,0,0.4,0.0,0.0,5,1,5,0,0,0,5,0,0,0,2,2,1,1,0,0,0,0,0,31,0,0,0,0,0,23,0,8,0,8,0,0,0,0,41,1,0
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/test/java/org/jsonschema2pojo/rules/DigitsRuleTest.java,org.jsonschema2pojo.rules.DigitsRuleTest,class,18,18,0,18,4,1,0,14,0,0.44444445,0.0,0.0,3,0,0,0,0,3,3,0,0,0,9,0,0,9,0,0,3,0,0,50,0,0,0,0,0,5,0,7,0,11,0,0,1,0,55,0,0
