file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/util/AnnotationHelper.java,org.jsonschema2pojo.util.AnnotationHelper,"addGeneratedAnnotation/2[org.jsonschema2pojo.GenerationConfig,org.jsonschema2pojo.util.JDefinedClass]",false,44,4,5,2,3,2,3,8,0,0,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,9,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/util/AnnotationHelper.java,org.jsonschema2pojo.util.AnnotationHelper,"tryToAnnotate/2[org.jsonschema2pojo.util.JDefinedClass,java.lang.String]",false,31,3,1,1,0,2,5,12,2,2,2,5,0,0,0,0,1,0,1,0,2,0,1,0,0,0,17,10,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-integration-tests/src/test/java/org/jsonschema2pojo/integration/ConstructorsJavadocIT.java,org.jsonschema2pojo.integration.ConstructorsJavadocIT$IncludeCopyConstructorIT,copyConstructor_hasJavadocForDocumentedProperties/0,false,116,4,5,0,5,1,10,7,0,2,0,10,0,0,0,0,0,0,4,1,2,0,0,0,0,0,25,1,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/rules/PropertiesRule.java,org.jsonschema2pojo.rules.PropertiesRule,PropertiesRule/1[org.jsonschema2pojo.rules.RuleFactory],true,42,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/rules/PropertiesRule.java,org.jsonschema2pojo.rules.PropertiesRule,"addOverrideBuilders/2[org.jsonschema2pojo.rules.JDefinedClass,org.jsonschema2pojo.rules.JDefinedClass]",false,82,2,2,1,1,5,7,10,1,0,2,7,1,1,1,2,0,0,1,2,0,0,2,0,0,0,11,2,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/rules/PropertiesRule.java,org.jsonschema2pojo.rules.PropertiesRule,"apply/5[java.lang.String,org.jsonschema2pojo.rules.JsonNode,org.jsonschema2pojo.rules.JsonNode,org.jsonschema2pojo.rules.JDefinedClass,org.jsonschema2pojo.Schema]",false,62,7,6,0,6,5,18,14,1,2,5,18,1,2,1,1,0,0,1,0,3,0,1,0,0,0,45,1,0,true
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-core/src/main/java/org/jsonschema2pojo/rules/PropertiesRule.java,org.jsonschema2pojo.rules.PropertiesRule,"addOverrideBuilder/3[org.jsonschema2pojo.rules.JDefinedClass,org.jsonschema2pojo.rules.JMethod,org.jsonschema2pojo.rules.JVar]",false,94,5,1,1,0,2,14,10,0,3,3,14,0,0,0,1,0,0,0,0,3,0,1,0,0,0,15,2,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-cli/src/test/java/org/jsonschema2pojo/cli/ClassConverterTest.java,org.jsonschema2pojo.cli.ClassConverterTest,classIsCreatedFromFullyQualifiedClassName/0,false,34,3,1,0,1,1,5,4,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-cli/src/test/java/org/jsonschema2pojo/cli/ClassConverterTest.java,org.jsonschema2pojo.cli.ClassConverterTest,nullValueThrowsParameterException/0,false,46,2,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,false
/tmp/ck-analysis/joelittlejohn_jsonschema2pojo/jsonschema2pojo-cli/src/test/java/org/jsonschema2pojo/cli/ClassConverterTest.java,org.jsonschema2pojo.cli.ClassConverterTest,invalidClassNameThrowsParameterException/0,false,41,2,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1,0,false
