file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/service/FilePreview.java,cn.keking.service.FilePreview,interface,2,27,25,2,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,25,0,0,0,0,25,0,0,0,28,0,0,0,0,0,25,0,25,0,25,0,0,0,0,35,1,0
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/utils/DownloadUtils.java,cn.keking.utils.DownloadUtils,class,17,27,10,17,18,1,0,49,0,0.375,NaN,NaN,2,2,1,1,0,0,1,0,0,0,8,8,0,8,0,0,8,0,14,121,9,0,1,3,0,19,10,27,8,28,5,0,0,3,77,1,3
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/utils/OfficeUtils.java,cn.keking.utils.OfficeUtils,class,3,5,2,3,14,1,0,14,0,0.25,0.0,0.0,2,2,2,0,0,0,2,0,0,1,2,2,0,2,0,0,2,0,4,60,5,1,2,4,0,3,0,7,0,5,4,0,0,0,42,1,2
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/service/impl/CommonPreviewImpl.java,cn.keking.service.impl.CommonPreviewImpl,class,8,18,10,8,5,1,1,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,24,2,0,1,0,0,4,0,4,0,4,2,0,0,0,20,1,0
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/config/RedissonConfig.java,cn.keking.config.RedissonConfig,class,8,9,1,8,43,1,0,24,793,0.9346624,0.0,0.0,43,0,42,0,0,1,43,0,0,0,21,0,0,21,0,0,0,0,0,158,22,0,0,0,0,3,15,42,0,23,0,0,0,0,61,1,0
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/web/filter/UrlCheckFilter.java,cn.keking.web.filter.UrlCheckFilter,class,7,8,1,7,8,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,1,7,4,10,5,4,3,0,0,0,19,1,0
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/service/OfficeToPdfService.java,cn.keking.service.OfficeToPdfService,class,6,8,2,6,17,1,0,30,10,0.8,0.0,0.0,5,3,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,13,68,2,0,2,0,0,19,1,9,2,8,3,0,0,0,32,1,1
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/service/FilePreviewFactory.java,cn.keking.service.FilePreviewFactory,class,5,8,3,5,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/ServerMain.java,cn.keking.ServerMain,class,9,10,1,9,2,1,0,13,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,15,0,0,0,0,0,2,0,8,1,8,0,0,0,0,25,1,1
/tmp/ck-analysis/kekingcn_kkFileView/server/src/main/java/cn/keking/service/OfficePluginManager.java,cn.keking.service.OfficePluginManager,class,11,12,1,11,18,1,0,33,0,0.50000006,0.0,0.0,3,0,2,1,0,0,2,0,0,0,6,0,0,6,0,0,1,0,8,90,1,3,2,2,0,34,8,29,4,30,3,0,0,0,58,1,4
