file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/keycloak_keycloak/services/src/main/java/org/keycloak/authentication/authenticators/browser/UsernameFormFactory.java,org.keycloak.authentication.authenticators.browser.UsernameFormFactory,class,9,9,0,9,14,1,0,3,76,0.8846154,0.0,0.0,13,0,13,0,0,0,13,0,0,0,2,2,2,0,0,0,2,0,2,40,10,0,0,0,0,3,0,2,0,2,0,0,0,0,58,1,0
/tmp/ck-analysis/keycloak_keycloak/server-spi/src/main/java/org/keycloak/models/ClientProvider.java,org.keycloak.models.ClientProvider,interface,6,8,2,6,12,1,0,2,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1,0
/tmp/ck-analysis/keycloak_keycloak/core/src/test/java/org/keycloak/jose/jwk/AKPSamples.java,org.keycloak.jose.jwk.AKPSamples,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,21,0,3,3,3,0,0,0,0,1567,1,0
/tmp/ck-analysis/keycloak_keycloak/quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/configuration/mappers/PropertyMapper.java,org.keycloak.quarkus.runtime.configuration.mappers.PropertyMapper$Builder,innerclass,10,10,0,10,31,1,0,34,117,0.8492754,0.0,0.0,23,0,23,0,0,0,23,0,0,0,15,0,0,15,0,0,1,0,4,147,25,0,3,1,0,11,0,31,2,41,3,0,0,15,118,9,0
/tmp/ck-analysis/keycloak_keycloak/tests/base/src/test/java/org/keycloak/tests/events/EventRunOnServerHelper.java,org.keycloak.tests.events.EventRunOnServerHelper$QueryHelper,innerclass,8,8,0,8,15,1,0,18,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,9,0,0,9,0,0,9,0,0,71,4,0,9,1,0,5,1,14,1,15,2,0,0,1,50,10,0
/tmp/ck-analysis/keycloak_keycloak/model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/JpaChangesPerformer.java,org.keycloak.models.sessions.infinispan.changes.JpaChangesPerformer,class,25,28,3,25,34,1,0,52,75,0.81333333,0.0,0.0,15,6,6,9,0,0,6,0,0,0,5,1,0,5,0,0,4,0,7,469,3,0,7,1,0,6,2,26,1,29,3,6,0,4,193,1,1
/tmp/ck-analysis/keycloak_keycloak/server-spi-private/src/main/java/org/keycloak/models/utils/FormMessage.java,org.keycloak.models.utils.FormMessage,class,0,4,4,0,9,1,0,1,0,0.53125,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,1,1,3,0,0,1,0,1,33,4,0,1,0,0,5,0,5,1,4,1,0,0,0,42,1,0
/tmp/ck-analysis/keycloak_keycloak/tests/base/src/test/java/org/keycloak/tests/admin/ConsentsTest.java,org.keycloak.tests.admin.ConsentsTest,class,41,43,2,41,18,1,0,99,8,0.7625,0.0,0.0,8,2,5,3,0,0,5,0,0,0,20,7,0,7,0,13,7,0,5,224,3,1,5,1,0,98,23,38,11,49,2,0,4,2,138,1,8
/tmp/ck-analysis/keycloak_keycloak/server-spi-private/src/main/java/org/keycloak/models/workflow/Workflow.java,org.keycloak.models.workflow.Workflow,class,15,25,10,15,36,1,0,66,42,0.704762,0.0,0.0,21,0,18,3,0,0,18,0,0,0,5,0,0,5,0,0,3,0,9,138,15,1,9,0,0,6,5,27,3,23,2,0,0,5,98,1,0
/tmp/ck-analysis/keycloak_keycloak/rest/admin-v2/tests/src/test/java/org/keycloak/tests/admin/cli/v2/KcAdmV2TlsCLITest.java,org.keycloak.tests.admin.cli.v2.KcAdmV2TlsCLITest$V2ApiTlsServerConfig,innerclass,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
/tmp/ck-analysis/keycloak_keycloak/model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserCredentialStore.java,org.keycloak.models.jpa.JpaUserCredentialStore,class,12,15,3,12,40,1,0,75,86,0.828125,0.0,0.0,16,0,10,3,0,3,13,0,0,0,4,2,1,1,2,0,4,0,4,148,17,2,13,0,0,7,11,33,5,33,2,0,0,4,90,1,0
/tmp/ck-analysis/keycloak_keycloak/testsuite/utils/src/main/java/org/keycloak/testsuite/util/cli/BatchTaskRunner.java,org.keycloak.testsuite.util.cli.BatchTaskRunner$BatchTask,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/keycloak_keycloak/test-framework/core/src/main/java/org/keycloak/testframework/realm/ClientConfigBuilder.java,org.keycloak.testframework.realm.ClientConfigBuilder,class,5,12,7,5,30,1,0,36,0,0.0,0.0,0.0,29,2,28,1,0,0,28,0,0,0,1,0,0,1,0,0,1,0,6,124,28,0,1,0,0,0,0,2,0,3,1,0,1,1,85,1,0
/tmp/ck-analysis/keycloak_keycloak/server-spi/src/main/java/org/keycloak/sessions/AuthenticationSessionProvider.java,org.keycloak.sessions.AuthenticationSessionProvider,interface,5,6,1,5,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,112,1,0
/tmp/ck-analysis/keycloak_keycloak/testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/authz/AttributeTest.java,org.keycloak.testsuite.authz.AttributeTest$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/tmp/ck-analysis/keycloak_keycloak/testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/broker/OidcHardcodedGroupMapperTest.java,org.keycloak.testsuite.broker.OidcHardcodedGroupMapperTest,class,8,8,0,8,3,7,0,14,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,1,0,3,0,3,0,0,0,0,57,1,0
