file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_137_single_number/lc_137_single_number_s1.java,lc_137_single_number.lc_137_single_number_s1,main/1[java.lang.String[]],false,25,2,2,0,2,1,2,6,0,3,1,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,8,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_06_print_a_linked_list_in_reverse_order_s1/sfo_06_print_a_linked_list_in_reverse_order_s1.java,sfo_06_print_a_linked_list_in_reverse_order_s1.sfo_06_print_a_linked_list_in_reverse_order_s1,main/1[java.lang.String[]],false,33,3,3,0,3,1,4,6,0,3,1,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_38_all_permutations_of_a_string_s1/sfo_38_all_permutations_of_a_string_s1.java,sfo_38_all_permutations_of_a_string_s1.Solution,dfs/1[int],false,23,1,4,2,2,4,6,14,1,2,1,6,2,1,1,1,0,0,0,2,2,2,2,0,0,0,6,0,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_38_all_permutations_of_a_string_s1/sfo_38_all_permutations_of_a_string_s1.java,sfo_38_all_permutations_of_a_string_s1.Solution,"swap/2[int,int]",false,39,0,1,1,0,1,0,5,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_38_all_permutations_of_a_string_s1/sfo_38_all_permutations_of_a_string_s1.java,sfo_38_all_permutations_of_a_string_s1.Solution,permutation/1[java.lang.String],false,17,1,2,1,1,1,4,5,1,0,1,4,1,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_704_binary_search/lc_704_binary_search.java,lc_704_binary_search.lc_704_binary_search,main/1[java.lang.String[]],false,27,2,2,0,2,1,2,8,0,5,1,2,0,0,0,0,0,0,0,8,5,0,0,0,0,0,12,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_86_partition_list/lc_86_partition_list_s2.java,lc_86_partition_list.lc_86_partition_list_s2,main/1[java.lang.String[]],false,39,4,4,0,4,1,3,7,0,4,1,3,0,0,0,0,0,0,0,7,4,0,0,0,0,0,10,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_61_straight_in_poker_s2/sfo_61_straight_in_poker_s2.java,sfo_61_straight_in_poker_s2.sfo_61_straight_in_poker_s2,main/1[java.lang.String[]],false,28,2,2,0,2,1,2,6,0,3,1,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_27_mirror_of_a_binary_tree_s1/sfo_27_mirror_of_a_binary_tree_s1.java,sfo_27_mirror_of_a_binary_tree_s1.sfo_27_mirror_of_a_binary_tree_s1,main/1[java.lang.String[]],false,25,3,4,0,4,1,3,6,0,3,1,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,8,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_14i_cut_the_rope_i_s1/sfo_14i_cut_the_rope_i_s1.java,sfo_14i_cut_the_rope_i_s1.Solution,cuttingRope/1[int],false,14,0,1,1,0,4,1,7,4,2,1,1,0,0,0,2,0,0,0,12,2,6,1,0,0,0,5,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_58i_reverse_order_of_words_s1/sfo_58i_reverse_order_of_words_s1.java,sfo_58i_reverse_order_of_words_s1.Solution,reverseWords/1[java.lang.String],false,14,0,1,1,0,6,6,12,1,3,1,6,0,0,3,2,0,0,1,6,5,4,2,0,0,0,8,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_509_fibonacci_number/lc_509_fibonacci_number.java,lc_509_fibonacci_number.lc_509_fibonacci_number,main/1[java.lang.String[]],false,26,1,1,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_110_balanced_binary_tree/lc_110_balanced_binary_tree_s2.java,lc_110_balanced_binary_tree.lc_110_balanced_binary_tree_s2,main/1[java.lang.String[]],false,25,2,3,0,3,1,3,6,0,3,1,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,9,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_50_powx_n/lc_50_powx_n.java,lc_50_powx_n.lc_50_powx_n,main/1[java.lang.String[]],false,32,1,1,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_03_find_duplicate_numbers_in_an_array_s2/sfo_03_find_duplicate_numbers_in_an_array_s2.java,sfo_03_find_duplicate_numbers_in_an_array_s2.Solution,findRepeatNumber/1[int[]],false,14,1,1,1,0,4,0,14,2,2,1,0,0,0,1,2,0,0,0,2,4,0,2,0,0,0,6,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_110_balanced_binary_tree/lc_110_balanced_binary_tree_s1.java,lc_110_balanced_binary_tree.lc_110_balanced_binary_tree_s1,main/1[java.lang.String[]],false,28,2,3,0,3,1,3,6,0,3,1,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,9,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_86_partition_list/lc_86_partition_list_s1.java,lc_86_partition_list.lc_86_partition_list_s1,main/1[java.lang.String[]],false,34,4,4,0,4,1,3,7,0,4,1,3,0,0,0,0,0,0,0,7,4,0,0,0,0,0,10,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_138_copy_list_with_random_pointer/lc_138_copy_list_with_random_pointer_s4.java,lc_138_copy_list_with_random_pointer.Solution,copyRandomList/1[lc_138_copy_list_with_random_pointer.Node],false,14,1,1,0,1,4,2,16,2,2,1,2,0,0,2,3,0,0,0,0,7,0,1,0,0,0,8,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_137_single_number/lc_137_single_number_s2.java,lc_137_single_number.lc_137_single_number_s2,main/1[java.lang.String[]],false,32,2,2,0,2,1,2,6,0,3,1,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,8,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_45_arrange_an_array_into_the_smallest_number_s1/sfo_45_arrange_an_array_into_the_smallest_number_s1.java,sfo_45_arrange_an_array_into_the_smallest_number_s1.sfo_45_arrange_an_array_into_the_smallest_number_s1,main/1[java.lang.String[]],false,47,2,2,0,2,1,2,6,0,3,1,2,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_33_postorder_traversal_of_a_binary_search_tree_s1/sfo_33_postorder_traversal_of_a_binary_search_tree_s1.java,sfo_33_postorder_traversal_of_a_binary_search_tree_s1.Solution,verifyPostorder/1[int[]],false,14,2,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,4,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_33_postorder_traversal_of_a_binary_search_tree_s1/sfo_33_postorder_traversal_of_a_binary_search_tree_s1.java,sfo_33_postorder_traversal_of_a_binary_search_tree_s1.Solution,"recur/3[int[],int,int]",false,18,2,3,2,1,5,1,8,2,2,3,1,1,0,2,1,0,0,0,2,2,2,1,0,0,0,6,0,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_21_merge_two_sorted_lists/lc_21_merge_two_sorted_lists.java,lc_21_merge_two_sorted_lists.lc_21_merge_two_sorted_lists,main/1[java.lang.String[]],false,33,4,4,0,4,1,3,7,0,4,1,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,10,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_39_the_majority_element_in_an_array_s2/sfo_39_the_majority_element_in_an_array_s2.java,sfo_39_the_majority_element_in_an_array_s2.Solution,majorityElement/1[int[]],false,14,1,1,1,0,7,0,9,1,3,1,0,0,0,2,3,0,0,0,8,5,1,2,0,0,0,7,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_55ii_balanced_binary_tree_s1/sfo_55ii_balanced_binary_tree_s1.java,sfo_55ii_balanced_binary_tree_s1.sfo_55ii_balanced_binary_tree_s1,main/1[java.lang.String[]],false,32,2,3,0,3,1,3,6,0,3,1,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,8,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_67_convert_string_to_int_s2/sfo_67_convert_string_to_int_s2.java,sfo_67_convert_string_to_int_s2.Solution,strToInt/1[java.lang.String],false,14,0,1,1,0,14,2,14,4,6,1,2,0,0,2,8,0,1,0,10,8,5,2,0,0,0,9,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_57ii_consecutive_numbers_with_sum_s_s2/sfo_57ii_consecutive_numbers_with_sum_s_s2.java,sfo_57ii_consecutive_numbers_with_sum_s_s2.sfo_57ii_consecutive_numbers_with_sum_s_s2,main/1[java.lang.String[]],false,37,2,2,0,2,1,3,6,0,3,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,9,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/sword_for_offer/codes/java/sfo_56ii_single_number_ii_s1/sfo_56ii_single_number_ii_s1.java,sfo_56ii_single_number_ii_s1.Solution,singleNumber/1[int[]],false,14,1,1,1,0,2,0,8,1,2,1,0,0,0,1,0,0,0,0,2,4,0,1,0,0,0,6,1,0,false
/tmp/ck-analysis/krahets_LeetCode-Book/selected_coding_interview/codes/java/lc_205_isomorphic_strings/lc_205_isomorphic_strings.java,lc_205_isomorphic_strings.Solution,"isIsomorphic/2[java.lang.String,java.lang.String]",false,14,0,1,1,0,6,5,10,2,5,2,5,0,0,1,2,0,0,0,1,5,0,2,0,0,0,10,1,0,false
