file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j-google-ai-gemini/src/test/java/dev/langchain4j/model/googleai/jsonl/StreamingJsonLinesWriterTest.java,dev.langchain4j.model.googleai.jsonl.StreamingJsonLinesWriterTest$PathConstructor,innerclass,6,6,0,6,1,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,4,2,4,0,3,0,0,0,0,27,0,0
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j/src/test/java/dev/langchain4j/service/AiServicesWithCustomContentInjectorTest.java,dev.langchain4j.service.AiServicesWithCustomContentInjectorTest,class,17,17,0,17,3,1,0,28,0,0.22222222,0.0,0.0,3,0,0,0,0,3,3,0,0,0,3,2,0,2,0,1,2,0,2,67,2,0,0,0,0,10,13,18,0,24,1,0,2,4,68,1,0
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j-http-client/src/main/java/dev/langchain4j/http/client/log/HttpRequestLogger.java,dev.langchain4j.http.client.log.HttpRequestLogger,class,4,7,3,4,10,1,0,31,6,0.75,0.0,0.0,4,4,0,0,0,4,4,0,0,0,1,1,0,1,0,0,1,0,7,36,6,0,1,1,0,10,6,2,2,2,1,0,0,1,40,0,2
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j-mistral-ai/src/main/java/dev/langchain4j/model/mistralai/internal/client/MistralAiClientBuilderFactory.java,dev.langchain4j.model.mistralai.internal.client.MistralAiClientBuilderFactory,interface,2,3,1,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j-core/src/test/java/dev/langchain4j/web/search/WebSearchRequestTest.java,dev.langchain4j.web.search.WebSearchRequestTest,class,2,2,0,2,6,1,0,23,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,17,12,7,0,7,0,0,0,1,47,0,0
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j-agentic/src/test/java/dev/langchain4j/agentic/DeclarativeAgentIT.java,dev.langchain4j.agentic.DeclarativeAgentIT$BatchHoroscopeAgentWith2Lists,interface,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j-agentic-a2a/src/main/java/dev/langchain4j/agentic/a2a/A2AClientAgentInvoker.java,dev.langchain4j.agentic.a2a.A2AClientAgentInvoker,class,12,13,1,12,26,1,0,25,155,0.8257575,0.0,0.0,22,0,19,3,0,0,19,0,0,0,6,0,0,6,0,0,4,0,3,86,18,1,1,0,0,0,1,12,1,11,1,0,0,1,57,1,0
/tmp/ck-analysis/langchain4j_langchain4j/embeddings/langchain4j-embeddings-all-minilm-l6-v2/src/main/java/dev/langchain4j/model/embedding/onnx/allminilml6v2/AllMiniLmL6V2EmbeddingModelFactory.java,dev.langchain4j.model.embedding.onnx.allminilml6v2.AllMiniLmL6V2EmbeddingModelFactory,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j/src/test/java/dev/langchain4j/service/tool/ToolExecutionRequestUtilTest.java,dev.langchain4j.service.tool.ToolExecutionRequestUtilTest,class,7,7,0,7,9,1,0,21,36,0.0,0.0,0.0,9,1,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,10,51,1,0,0,0,4,76,4,14,0,15,1,0,0,1,37,0,0
/tmp/ck-analysis/langchain4j_langchain4j/langchain4j-ollama/src/main/java/dev/langchain4j/model/ollama/OllamaStreamingChatModel.java,dev.langchain4j.model.ollama.OllamaStreamingChatModel$OllamaStreamingChatModelBuilder,innerclass,3,3,0,3,3,2,0,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
