file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/lihangleo2_ShadowLayout/app/src/main/java/com/leo/WikiActivity.java,com.leo.WikiActivity$Anonymous2,"onProgressChanged/2[com.leo.WebView,int]",false,128,1,0,0,0,6,3,11,0,0,2,3,0,0,0,5,0,0,0,2,0,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,setOnCheckedChangeListener/1[com.lihang.SwitchButton.OnCheckedChangeListener],false,670,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"drawButton/3[com.lihang.Canvas,float,float]",false,326,1,1,1,0,1,4,7,0,0,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,isInAnimating/0,false,559,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,setOnLongClickListener/1[com.lihang.OnLongClickListener],false,667,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"SwitchButton/3[com.lihang.Context,com.lihang.AttributeSet,int]",true,60,3,1,0,1,1,1,4,0,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,onTouchEvent/1[com.lihang.MotionEvent],false,465,2,6,0,6,14,17,68,2,7,1,17,6,7,0,1,0,2,0,9,18,10,3,0,0,0,37,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"optPixelSize/3[com.lihang.TypedArray,int,float]",false,700,1,1,1,0,2,1,6,2,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,10,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,pendingDragState/0,false,590,2,4,1,3,5,6,24,2,0,0,6,2,1,0,0,0,0,0,0,6,0,1,0,0,0,31,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,isChecked/0,false,347,0,9,9,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,isDragState/0,false,578,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"onSizeChanged/4[int,int,int,int]",false,172,1,3,0,3,2,5,24,0,1,4,5,3,1,0,0,0,2,0,3,14,12,1,0,0,0,34,4,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,isPendingDragState/0,false,568,0,2,2,0,3,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,pendingSettleState/0,false,645,2,5,1,4,3,7,14,0,0,0,7,3,1,0,0,0,0,0,0,1,0,1,0,0,0,23,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"drawRoundRect/7[com.lihang.Canvas,float,float,float,float,float,com.lihang.Paint]",false,309,2,1,1,0,2,2,9,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,broadcastEvent/0,false,455,2,4,2,2,2,2,7,0,0,0,2,1,1,0,1,0,0,0,0,2,0,1,0,0,0,11,2,0,true
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"optBoolean/3[com.lihang.TypedArray,int,boolean]",false,727,1,1,1,0,2,1,6,2,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,10,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,SwitchButton/1[com.lihang.Context],true,50,2,1,0,1,1,1,4,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,setEnableEffect/1[boolean],false,583,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"SwitchButton/4[com.lihang.Context,com.lihang.AttributeSet,int,int]",true,66,4,1,0,1,1,1,4,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,"setPadding/4[int,int,int,int]",false,72,0,1,1,0,1,1,3,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,17,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,setChecked/1[boolean],false,336,1,2,0,2,2,3,7,1,0,1,3,2,2,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,false
/tmp/ck-analysis/lihangleo2_ShadowLayout/shadowLibrary/src/main/java/com/lihang/SwitchButton.java,com.lihang.SwitchButton,dp2pxInt/1[float],false,684,1,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,false
