file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/lionsoul2014_ip2region/maker/java/src/main/java/org/lionsoul/ip2region/xdb/InvalidInetAddressException.java,org.lionsoul.ip2region.xdb.InvalidInetAddressException,InvalidInetAddressException/1[java.lang.String],true,9,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/maker/java/src/main/java/org/lionsoul/ip2region/xdb/Maker.java,org.lionsoul.ip2region.xdb.Maker$Anonymous1,filter/1[java.lang.String],false,171,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/maker/java/src/main/java/org/lionsoul/ip2region/xdb/Maker.java,org.lionsoul.ip2region.xdb.Maker$Anonymous1,handle/1[org.lionsoul.ip2region.xdb.Segment],false,176,1,3,0,3,5,2,12,0,0,1,2,0,0,0,2,0,0,2,0,2,1,1,0,0,0,11,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/maker/java/src/main/java/org/lionsoul/ip2region/xdb/Maker.java,org.lionsoul.ip2region.xdb.Maker$Anonymous1,sorting/0,false,197,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/maker/java/src/main/java/org/lionsoul/ip2region/xdb/Maker.java,org.lionsoul.ip2region.xdb.Maker$Anonymous1,before/1[java.lang.String],false,166,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/binding/java/src/main/java/org/lionsoul/ip2region/xdb/Header.java,org.lionsoul.ip2region.xdb.Header,toString/0,false,34,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,15,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/binding/java/src/main/java/org/lionsoul/ip2region/xdb/Header.java,org.lionsoul.ip2region.xdb.Header,Header/1[byte[]],true,22,2,5,3,2,2,2,11,0,0,1,2,0,0,0,0,0,0,0,8,8,0,0,0,0,0,17,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/maker/java/src/main/java/org/lionsoul/ip2region/xdb/IPv6.java,IPv6,IPv6/0,true,13,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/maker/java/src/main/java/org/lionsoul/ip2region/xdb/IPv6.java,IPv6,"putBytes/3[byte[],int,byte[]]",false,19,1,0,0,0,1,1,4,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/lionsoul2014_ip2region/binding/java/src/test/java/org/lionsoul/ip2region/xdb/UtilTest.java,org.lionsoul.ip2region.xdb.UtilTest,testIpSubCompare/0,false,46,4,4,0,4,2,4,8,0,3,0,4,0,0,1,0,0,0,9,3,3,0,1,0,0,0,12,1,0,false
