file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/worker/utils/Platform.java,com.getjobs.worker.utils.Platform,Platform/1[java.lang.String],true,22,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/service/Job51Service.java,com.getjobs.application.service.Job51Service$BucketValue,"BucketValue/2[java.lang.String,long]",true,499,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/service/Job51Service.java,com.getjobs.application.service.Job51Service$BucketValue,BucketValue/0,true,499,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/service/ZhilianService.java,com.getjobs.application.service.ZhilianService$BucketValue,BucketValue/0,true,322,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/service/ZhilianService.java,com.getjobs.application.service.ZhilianService$BucketValue,"BucketValue/2[java.lang.String,long]",true,322,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/BossAnalyticsController.java,com.getjobs.application.controller.BossAnalyticsController,"getStats/8[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Double,java.lang.Double,java.lang.String,java.lang.Boolean]",false,36,4,1,0,1,4,9,7,1,2,8,9,0,0,0,2,0,0,10,0,2,0,1,0,0,1,13,1,0,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/BossAnalyticsController.java,com.getjobs.application.controller.BossAnalyticsController,BossAnalyticsController/1[com.getjobs.application.service.BossService],true,19,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/BossAnalyticsController.java,com.getjobs.application.controller.BossAnalyticsController,reload/0,false,97,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/BossAnalyticsController.java,com.getjobs.application.controller.BossAnalyticsController,"list/10[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Double,java.lang.Double,java.lang.String,java.lang.Boolean,java.lang.Integer,java.lang.Integer]",false,71,4,1,0,1,4,9,7,1,2,10,9,0,0,0,2,0,0,14,0,2,0,1,0,0,1,14,1,0,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,heartbeatLoginStatus/0,false,185,4,0,0,0,10,14,24,1,1,0,14,0,0,1,0,2,2,5,1,1,0,4,0,0,0,24,1,2,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,streamJob51Progress/0,false,58,2,0,0,0,2,12,26,1,2,0,12,0,0,0,0,1,0,8,1,1,0,1,0,0,3,16,1,4,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,streamLoginStatus/0,false,90,3,2,0,2,2,14,31,1,6,0,14,0,0,0,0,1,0,16,1,5,0,1,0,0,3,24,1,4,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,updateConfig/1[com.getjobs.application.entity.Job51ConfigEntity],false,252,5,5,0,5,5,11,19,2,6,1,11,2,1,0,4,0,0,3,0,6,0,1,0,0,0,16,1,0,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,heartbeatJob51Progress/0,false,209,4,0,0,0,10,14,24,1,1,0,14,0,0,1,0,2,2,5,1,1,0,4,0,0,0,24,1,2,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,"getStats/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Double,java.lang.Double,java.lang.String]",false,482,4,1,0,1,3,10,7,1,2,7,10,0,0,0,1,0,0,9,0,2,0,1,0,0,1,12,1,0,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,toBracketListString/1[java.util.List<java.lang.String>],false,522,0,1,1,0,4,9,5,2,4,1,9,0,0,0,2,0,0,8,0,1,2,1,0,0,3,8,2,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,buildOptionsFromDb/1[java.lang.String],false,551,2,4,3,1,2,5,11,1,3,1,5,0,0,1,0,0,0,2,0,3,0,1,0,0,0,12,2,0,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,sendJob51Progress/1[com.getjobs.worker.dto.JobProgressMessage],false,133,4,1,1,0,9,14,23,0,1,1,14,0,0,1,0,2,2,4,0,1,0,4,0,0,0,25,2,2,false
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,getCurrentStatus/0,false,443,3,1,0,1,2,9,16,2,2,0,9,0,0,0,0,1,0,7,0,2,1,1,0,0,0,8,1,1,true
/tmp/ck-analysis/loks666_get_jobs/src/main/java/com/getjobs/application/controller/JobController.java,com.getjobs.application.controller.JobController,save51jobCookie/0,false,368,3,1,0,1,2,6,14,2,1,0,6,0,0,0,0,1,0,8,0,1,1,1,0,0,0,7,1,0,true
