file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/makovkastar_FloatingActionButton/sample/src/main/java/com/melnykov/fab/sample/RecyclerViewAdapter.java,com.melnykov.fab.sample.RecyclerViewAdapter,"RecyclerViewAdapter/2[com.melnykov.fab.sample.Context,java.lang.String[]]",true,13,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/sample/src/main/java/com/melnykov/fab/sample/RecyclerViewAdapter.java,com.melnykov.fab.sample.RecyclerViewAdapter,"onCreateViewHolder/2[com.melnykov.fab.sample.ViewGroup,int]",false,19,3,1,0,1,1,3,4,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/sample/src/main/java/com/melnykov/fab/sample/RecyclerViewAdapter.java,com.melnykov.fab.sample.RecyclerViewAdapter,getItemCount/0,false,34,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/sample/src/main/java/com/melnykov/fab/sample/RecyclerViewAdapter.java,com.melnykov.fab.sample.RecyclerViewAdapter,"onBindViewHolder/2[com.melnykov.fab.sample.RecyclerViewAdapter.ViewHolder,int]",false,25,1,0,0,0,1,6,7,0,3,2,6,0,0,0,0,0,0,2,5,3,0,0,0,0,0,11,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/sample/src/main/java/com/melnykov/fab/sample/MainActivity.java,com.melnykov.fab.sample.MainActivity$ListViewFragment,"onCreateView/3[com.melnykov.fab.sample.LayoutInflater,com.melnykov.fab.sample.ViewGroup,com.melnykov.fab.sample.Bundle]",false,125,10,3,0,3,1,7,25,1,4,3,7,0,0,0,0,0,0,1,0,4,0,0,2,0,0,29,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/ObservableScrollView.java,com.melnykov.fab.ObservableScrollView$OnScrollChangedListener,"onScrollChanged/5[com.melnykov.fab.ScrollView,int,int,int,int]",false,11,1,2,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,hasJellyBeanApi/0,false,415,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,"getTypedArray/3[com.melnykov.fab.Context,com.melnykov.fab.AttributeSet,int[]]",false,160,4,1,1,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,"attachToRecyclerView/3[com.melnykov.fab.RecyclerView,com.melnykov.fab.ScrollDirectionListener,RecyclerView.OnScrollListener]",false,393,6,6,2,4,1,4,7,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,getType/0,false,292,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,isVisible/0,false,296,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setColorRippleResId/1[int],false,265,2,2,0,2,1,2,3,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setShadow/1[boolean],false,273,1,1,0,1,2,1,6,0,0,1,1,1,4,0,1,0,0,0,0,1,0,1,0,0,0,6,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,hide/1[boolean],false,312,1,2,1,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,hide/0,false,304,1,4,3,1,1,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,getColorRipple/0,false,269,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setColorPressedResId/1[int],false,250,2,2,0,2,1,2,3,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setColorNormal/1[int],false,228,1,2,1,1,2,1,6,0,0,1,1,1,4,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,"FloatingActionButton/2[com.melnykov.fab.Context,com.melnykov.fab.AttributeSet]",true,72,3,1,0,1,1,1,4,0,0,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,hasShadow/0,false,280,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setType/1[int],false,284,2,1,0,1,2,1,6,0,0,1,1,1,4,0,1,0,0,0,0,1,0,1,0,0,0,6,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,"onMeasure/2[int,int]",false,83,1,3,0,3,4,5,9,0,1,2,5,3,1,0,1,0,0,0,1,2,1,1,0,0,0,29,4,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,"attachToScrollView/3[com.melnykov.fab.ObservableScrollView,com.melnykov.fab.ScrollDirectionListener,com.melnykov.fab.ObservableScrollView.OnScrollChangedListener]",false,403,6,7,2,5,1,4,7,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,getDimension/1[int],false,168,1,4,4,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setMarginsWithoutShadow/0,false,172,1,1,1,0,3,3,14,0,5,0,3,0,0,0,0,0,0,0,0,6,4,2,0,0,0,18,2,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,"attachToRecyclerView/2[com.melnykov.fab.RecyclerView,com.melnykov.fab.ScrollDirectionListener]",false,367,4,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,"toggle/3[boolean,boolean,boolean]",false,316,2,5,3,2,9,12,33,1,3,3,12,2,1,0,2,0,0,0,2,4,1,3,1,0,0,42,2,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,attachToScrollView/1[com.melnykov.fab.ObservableScrollView],false,371,3,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setColorNormalResId/1[int],false,235,2,2,0,2,1,2,3,0,0,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,getColorPressed/0,false,254,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,darkenColor/1[int],false,423,1,2,2,0,1,2,6,1,1,1,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,4,10,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,getColor/1[int],false,164,1,5,5,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,setColorPressed/1[int],false,243,1,2,1,1,2,1,6,0,0,1,1,1,4,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
/tmp/ck-analysis/makovkastar_FloatingActionButton/library/src/main/java/com/melnykov/fab/FloatingActionButton.java,com.melnykov.fab.FloatingActionButton,attachToRecyclerView/1[com.melnykov.fab.RecyclerView],false,362,3,2,1,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
