file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/mouredev_hello-java/basic/c06_loops/Loops.java,basic.c06_loops.Loops,class,0,0,0,0,15,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,11,1,0,0,14,17,12,0,8,2,0,0,0,16,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c01_beginner/BeginnerExercises.java,basic.c01_beginner.BeginnerExercises,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c05_structures/StructuresExercises.java,basic.c05_structures.StructuresExercises,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c10_extras/ExtrasExample.java,basic.c10_extras.ExtrasExample,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c05_structures/Arrays.java,basic.c05_structures.Arrays,class,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,4,18,7,0,3,0,0,0,0,7,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c08_oop/PolymorphismExercises.java,basic.c08_oop.PolymorphismExercises,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c09_exceptions/ThrowExample.java,basic.c09_exceptions.ThrowExample,class,1,2,1,1,5,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,3,0,1,0,1,0,0,0,19,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c08_oop/Inheritance.java,basic.c08_oop.Inheritance$Bird,innerclass,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,0
/tmp/ck-analysis/mouredev_hello-java/basic/c08_oop/Abstraction.java,basic.c08_oop.Abstraction$Dog,innerclass,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,9,0
/tmp/ck-analysis/mouredev_hello-java/basic/c09_exceptions/CustomException.java,basic.c09_exceptions.CustomException,class,0,1,1,0,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c03_strings/Strings.java,basic.c03_strings.Strings,class,0,0,0,0,3,1,0,16,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,2,0,0,18,5,6,2,6,0,0,0,0,14,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c08_test_oop/Classes.java,basic.c08_test_oop.Classes,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,1,1,0,1,0,0,0,0,6,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c08_oop/Polymorphism.java,basic.c08_oop.Polymorphism,class,3,3,0,3,1,2,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,4,3,0,3,0,0,3,0,10,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c08_oop/ClassesExercises.java,basic.c08_oop.ClassesExercises,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/tmp/ck-analysis/mouredev_hello-java/basic/c08_oop/Polymorphism.java,basic.c08_oop.Polymorphism$Animal,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,0
