file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-velocity/src/test/java/extensions/velocity/CaptureSystemOutput.java,extensions.velocity.CaptureSystemOutput$OutputCapture,expect/1[extensions.velocity.Matcher<? super java.lang.String>],false,194,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-velocity/src/test/java/extensions/velocity/CaptureSystemOutput.java,extensions.velocity.CaptureSystemOutput$OutputCapture,captureOutput/0,false,163,1,1,0,1,1,2,7,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,false
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-velocity/src/test/java/extensions/velocity/CaptureSystemOutput.java,extensions.velocity.CaptureSystemOutput$OutputCapture,flush/0,false,177,1,2,1,1,2,1,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,2,0,false
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-velocity/src/test/java/extensions/velocity/CaptureSystemOutput.java,extensions.velocity.CaptureSystemOutput$OutputCapture,toString/0,false,202,1,4,3,1,1,2,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-velocity/src/test/java/extensions/velocity/CaptureSystemOutput.java,extensions.velocity.CaptureSystemOutput$OutputCapture,reset/0,false,207,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-velocity/src/test/java/extensions/velocity/CaptureSystemOutput.java,extensions.velocity.CaptureSystemOutput$OutputCapture,releaseOutput/0,false,171,1,1,0,1,1,3,5,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-autoconfigure/src/test/java/org/mybatis/spring/boot/autoconfigure/MybatisAutoConfigurationTest.java,org.mybatis.spring.boot.autoconfigure.MybatisAutoConfigurationTest$DatabaseProvidersConfiguration,vendorDatabaseIdProvider/1[java.util.Properties],false,1078,3,0,0,0,1,1,5,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-autoconfigure/src/test/java/org/mybatis/spring/boot/autoconfigure/MybatisAutoConfigurationTest.java,org.mybatis.spring.boot.autoconfigure.MybatisAutoConfigurationTest$DatabaseProvidersConfiguration,vendorProperties/0,false,1065,2,0,0,0,1,2,9,1,2,0,2,0,0,0,0,0,0,6,0,2,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-test-autoconfigure/src/test/java/org/mybatis/spring/boot/test/autoconfigure/MybatisTestCustomFilterIntegrationTest.java,org.mybatis.spring.boot.test.autoconfigure.MybatisTestCustomFilterIntegrationTest,testIncludeFilter/0,false,45,2,1,0,1,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,false
/tmp/ck-analysis/mybatis_spring-boot-starter/mybatis-spring-boot-test-autoconfigure/src/test/java/org/mybatis/spring/boot/test/autoconfigure/MybatisTestCustomFilterIntegrationTest.java,org.mybatis.spring.boot.test.autoconfigure.MybatisTestCustomFilterIntegrationTest,testExcludeFilter/0,false,50,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
