file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/pushers/IPush.java,nicelee.bilibili.pushers.IPush,interface,3,7,4,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,class,4,6,2,4,35,1,0,32,34,0.7291666,0.0,0.0,12,1,5,1,5,1,11,0,0,0,4,0,0,1,1,2,0,0,2,173,8,12,10,0,11,10,92,66,27,48,4,0,0,0,80,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/batchdownload/BatchDownload.java,nicelee.bilibili.util.batchdownload.BatchDownload$BatchDownloadsBuilder,innerclass,5,5,0,5,29,1,0,40,12,0.7083333,0.0,0.0,8,0,3,5,0,0,3,0,0,0,6,5,0,0,0,6,5,0,8,124,8,5,5,2,2,26,15,42,3,34,4,0,0,0,70,9,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/parsers/impl/TestParser.java,nicelee.bilibili.parsers.impl.TestParser,class,4,4,0,4,5,2,0,19,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,1,39,4,0,0,0,0,12,5,6,0,5,0,0,0,0,29,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/test/junit/UtilTest.java,nicelee.test.junit.UtilTest,class,9,9,0,9,24,1,0,27,136,0.0,0.0,0.0,17,2,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,21,149,0,2,1,5,1,62,9,27,0,17,2,2,0,0,114,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/INeedAV.java,nicelee.bilibili.INeedAV,class,11,23,12,11,12,1,0,22,8,0.6296296,0.0,0.0,9,1,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,4,56,7,1,1,1,0,4,3,11,1,8,2,0,0,0,42,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/org/json/JSONException.java,org.json.JSONException,class,0,12,12,0,3,4,1,1,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,34,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/HttpRequestUtilEx.java,nicelee.bilibili.util.HttpRequestUtilEx,class,5,7,2,5,21,2,0,28,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,5,180,12,3,7,4,0,7,17,32,8,23,2,1,0,0,66,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/parsers/impl/AbstractBaseParser.java,nicelee.bilibili.parsers.impl.AbstractBaseParser,class,18,41,23,18,106,1,13,100,88,0.7875,0.0,0.0,20,0,8,4,4,4,16,3,0,0,4,0,0,0,4,0,0,0,87,527,29,16,31,6,4,147,85,189,19,146,6,0,0,0,224,1025,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/parsers/IInputParser.java,nicelee.bilibili.parsers.IInputParser,interface,1,5,4,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/parsers/impl/URL4PictureRLParser.java,nicelee.bilibili.parsers.impl.URL4PictureRLParser,class,13,14,1,13,12,3,0,36,13,0.7142857,0.0,0.0,7,0,6,0,1,0,7,0,0,0,3,1,0,3,0,0,2,0,9,73,6,2,0,1,1,19,5,22,10,19,3,0,0,0,78,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/downloaders/impl/FLVDownloader.java,nicelee.bilibili.downloaders.impl.FLVDownloader,class,8,16,8,8,45,1,7,23,61,0.82222235,0.0,0.0,18,0,13,2,3,0,16,0,0,0,10,4,0,0,6,4,0,0,5,170,31,1,11,0,2,17,8,39,11,25,3,0,0,0,74,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/test/junit/common/PackageScanLoaderTest.java,nicelee.test.junit.common.PackageScanLoaderTest,class,6,6,0,6,8,1,0,3,15,0.0,0.0,0.0,6,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,0,0,0,4,0,4,0,4,1,2,0,0,19,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/parsers/impl/EPParser.java,nicelee.bilibili.parsers.impl.EPParser,class,8,9,1,8,8,2,0,17,0,0.5,0.0,0.0,5,0,4,1,0,0,4,0,0,0,2,1,0,2,0,0,1,0,3,39,4,1,0,0,0,11,1,13,2,12,2,0,0,0,58,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/RepoUtil.java,nicelee.bilibili.util.RepoUtil,class,6,16,10,6,39,1,0,39,3,0.5714286,0.0,0.0,7,7,5,0,0,2,7,0,0,1,5,5,0,0,0,5,0,0,20,193,5,3,8,6,4,24,24,39,15,30,5,1,0,0,75,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/exceptions/QualityTooLowException.java,nicelee.bilibili.exceptions.QualityTooLowException,class,1,2,1,1,2,5,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/org/json/CDL.java,org.json.CDL,class,5,6,1,5,58,1,0,28,45,0.0,0.0,0.0,10,10,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,146,18,8,29,0,2,6,24,27,3,22,5,0,0,0,121,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/convert/ConvertUtil.java,nicelee.bilibili.util.convert.ConvertUtil,class,2,9,7,2,8,1,0,12,4,0.7,0.0,0.0,4,4,4,0,0,0,5,0,0,0,5,5,0,5,0,0,5,0,14,67,3,3,1,0,4,14,37,31,6,20,1,0,0,0,101,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/QrCodeUtil.java,nicelee.bilibili.util.QrCodeUtil,class,4,6,2,4,6,1,0,11,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,31,2,2,0,0,0,3,11,9,4,9,3,0,0,0,35,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/plugin/CustomClassLoader.java,nicelee.bilibili.plugin.CustomClassLoader,class,2,5,3,2,6,2,0,10,1,0.33333334,0.0,0.0,3,0,1,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,29,4,1,1,1,1,0,5,8,0,7,2,0,0,0,23,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/downloaders/impl/AudioDownloader.java,nicelee.bilibili.downloaders.impl.AudioDownloader,class,4,4,0,4,6,2,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,31,4,0,1,0,0,12,1,9,0,4,1,0,0,0,34,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/net/HostSetUtil.java,nicelee.bilibili.util.net.HostSetUtil,class,3,4,1,3,15,1,0,31,2,0.5,0.0,0.0,5,4,2,3,0,0,2,0,0,0,2,2,0,1,0,1,1,0,7,84,3,3,3,3,2,11,11,22,2,18,4,0,0,0,49,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/org/json/JSONWriter.java,org.json.JSONWriter,class,5,8,3,5,58,1,1,24,49,0.68888885,0.0,0.0,15,1,11,4,0,0,11,0,0,0,6,1,0,4,2,0,2,0,8,178,21,0,22,4,2,19,9,25,5,12,3,0,0,0,201,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/item/MJMenuBar.java,nicelee.ui.item.MJMenuBar$Anonymous7,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,1,1,0,0,0,0,0,16,-1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/DialogSMSLogin.java,nicelee.ui.DialogSMSLogin,class,6,9,3,6,40,6,0,72,42,0.8059211,0.0,0.0,16,1,14,2,0,0,14,0,0,0,17,5,1,3,0,13,4,0,12,276,0,0,13,3,0,34,45,56,5,50,4,3,0,0,136,1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/item/MJMenuBar.java,nicelee.ui.item.MJMenuBar$Anonymous6,anonymous,1,1,0,1,4,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,0,0,0,1,1,2,1,1,2,0,0,0,13,-1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/item/MJMenuBar.java,nicelee.ui.item.MJMenuBar$Anonymous5,anonymous,1,1,0,1,4,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,0,0,0,1,0,2,1,0,2,0,0,0,15,-1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/item/MJMenuBar.java,nicelee.ui.item.MJMenuBar$Anonymous4,anonymous,1,1,0,1,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,1,3,2,1,1,0,0,0,0,13,-1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/item/MJMenuBar.java,nicelee.ui.item.MJMenuBar$Anonymous3,anonymous,1,1,0,1,4,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,1,0,0,2,3,2,0,0,1,0,0,0,14,-1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/item/MJMenuBar.java,nicelee.ui.item.MJMenuBar$Anonymous2,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,-1,0
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/ui/item/MJMenuBar.java,nicelee.ui.item.MJMenuBar$Anonymous26$Anonymous27,anonymous,2,2,0,2,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,1,0,8,0,0,3,0,2,0,0,0,3,-1,0
