file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/pushers/IPush.java,nicelee.bilibili.pushers.IPush,type/0,false,10,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/pushers/IPush.java,nicelee.bilibili.pushers.IPush,newInstance/0,false,12,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/pushers/IPush.java,nicelee.bilibili.pushers.IPush,"push/3[java.util.Map<nicelee.bilibili.model.ClipInfo,nicelee.bilibili.model.TaskInfo>,long,long]",false,14,2,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,main/1[java.lang.String[]],false,13,1,2,0,2,1,2,11,0,5,1,2,1,5,0,0,0,0,4,0,5,0,0,0,0,0,14,9,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,double2Bytes/1[double],false,183,1,1,1,0,3,1,12,1,5,1,1,0,0,2,0,0,2,0,9,7,3,1,0,0,0,9,4,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,"changeDuration/2[java.lang.String,double]",false,214,1,3,1,2,4,7,23,0,6,2,7,2,1,1,1,0,0,1,5,10,1,2,0,0,0,26,1,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,"merge/2[java.util.List<java.io.File>,java.io.File]",false,58,4,18,2,16,9,18,54,0,15,2,18,5,4,3,5,0,1,5,30,22,10,4,0,0,0,37,1,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,"dealTimestamp/3[nicelee.bilibili.util.check.RafWBuffered,int,int]",false,141,2,4,1,3,1,3,7,0,2,3,3,1,1,0,0,0,0,0,4,3,2,0,0,0,0,18,4,0,true
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,bytes2Double/1[byte[]],false,198,1,0,0,0,3,1,11,1,4,1,1,0,0,2,0,0,3,0,9,6,3,1,0,0,0,8,1,0,false
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,checkBufferForDuration/0,false,248,0,1,1,0,4,0,12,2,1,0,0,0,0,1,2,0,0,0,3,2,0,3,0,0,0,7,0,0,true
/tmp/ck-analysis/nICEnnnnnnnLee_BilibiliDown/src/nicelee/bilibili/util/check/FlvMerger.java,nicelee.bilibili.util.check.FlvMerger,int2Bytes/1[int],false,165,1,1,1,0,2,0,7,1,2,1,0,0,0,1,0,0,2,0,6,3,3,1,0,0,0,7,4,0,false
