file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/nageoffer_12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/base/TrainSecondCheckSeat.java,org.opengoofy.index12306.biz.ticketservice.service.handler.ticket.base.TrainSecondCheckSeat,class,5,6,1,5,10,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,2,2,4,0,1,0,8,9,3,7,4,0,0,0,45,1,0
/tmp/ck-analysis/nageoffer_12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/SeatDO.java,org.opengoofy.index12306.biz.ticketservice.dao.entity.SeatDO,class,6,8,2,6,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,9,0,0,0,0,18,1,0
/tmp/ck-analysis/nageoffer_12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/TrainStationQueryRespDTO.java,org.opengoofy.index12306.biz.ticketservice.dto.resp.TrainStationQueryRespDTO,class,2,5,3,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,5,0,0,0,0,15,1,0
/tmp/ck-analysis/nageoffer_12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/TicketDO.java,org.opengoofy.index12306.biz.ticketservice.dao.entity.TicketDO,class,6,6,0,6,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,7,0,0,0,0,17,1,0
/tmp/ck-analysis/nageoffer_12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/domain/MessageWrapper.java,org.opengoofy.index12306.biz.ticketservice.mq.domain.MessageWrapper,class,7,9,2,7,0,1,0,3,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,0,1,0,2,7,0,0,0,0,0,0,1,3,0,5,0,0,0,0,17,17,0
/tmp/ck-analysis/nageoffer_12306/frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception/RemoteException.java,org.opengoofy.index12306.framework.starter.convention.exception.RemoteException,class,2,2,0,2,4,5,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,5,0,0,2,0,0,0,0,0,12,1,0
/tmp/ck-analysis/nageoffer_12306/services/order-service/src/main/java/org/opengoofy/index12306/biz/orderservice/dto/req/CancelTicketOrderReqDTO.java,org.opengoofy.index12306.biz.orderservice.dto.req.CancelTicketOrderReqDTO,class,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0
/tmp/ck-analysis/nageoffer_12306/frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/constant/UserConstant.java,org.opengoofy.index12306.framework.starter.bases.constant.UserConstant,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,19,17,0
/tmp/ck-analysis/nageoffer_12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/RegionStationService.java,org.opengoofy.index12306.biz.ticketservice.service.RegionStationService,interface,3,5,2,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/nageoffer_12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/select/TrainSeatTypeSelector.java,org.opengoofy.index12306.biz.ticketservice.service.handler.ticket.select.TrainSeatTypeSelector,class,18,20,2,18,11,1,0,62,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,5,0,0,5,0,0,5,0,5,84,2,0,0,3,0,6,1,14,1,27,3,0,0,7,57,17,2
