file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,"findSeparatorBeforeQuote/2[java.lang.String,int]",false,45,0,1,1,0,5,3,10,1,1,2,3,0,0,1,0,0,0,0,5,2,1,1,0,0,0,36,10,0,true
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,isSectionLine/1[java.lang.String],false,224,0,1,1,0,2,2,3,1,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,4,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,findSeparator/1[java.lang.String],false,105,1,2,1,1,2,2,7,1,1,1,2,1,1,0,0,0,0,0,1,2,0,1,0,0,0,37,2,0,true
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,isCommentChar/1[char],false,212,0,2,2,0,2,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,isCommentLine/1[java.lang.String],false,216,0,1,1,0,4,3,6,2,0,1,3,0,0,0,1,0,0,0,3,0,0,1,0,0,0,6,4,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,"parseValue/2[java.lang.String,java.io.BufferedReader]",false,113,1,4,1,3,20,13,64,1,12,2,13,3,2,2,4,0,0,2,7,22,1,5,0,0,0,36,2,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,"lineContinues/2[java.lang.String,int]",false,196,1,3,1,2,4,5,14,1,2,2,5,2,1,1,0,0,0,0,0,3,0,2,0,0,0,38,2,0,true
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,read/1[java.io.Reader],false,58,2,7,1,6,5,11,29,1,7,1,11,4,4,1,1,0,1,3,5,13,2,4,0,0,0,26,1,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/config/ini/IniFileReader.java,kafdrop.config.ini.IniFileReader,lineContinues/1[java.lang.String],false,182,0,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/util/SerializationException.java,kafdrop.util.SerializationException,SerializationException/1[java.lang.String],true,10,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/util/MessageSerializer.java,kafdrop.util.MessageSerializer,serializeMessage/1[java.lang.String],false,5,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/util/MsgPackMessageSerializer.java,kafdrop.util.MsgPackMessageSerializer,serializeMessage/1[java.lang.String],false,15,2,1,0,1,2,4,11,1,2,1,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,16,1,1,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/controller/KafkaExceptionHandler.java,kafdrop.controller.KafkaExceptionHandler,notInitialized/0,false,28,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/service/KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,describeTopicConfigs/1[java.util.Set<java.lang.String>],false,110,6,3,1,2,5,16,23,3,5,1,16,1,1,1,0,1,0,0,1,4,0,2,0,0,1,26,0,0,false
/tmp/ck-analysis/obsidiandynamics_kafdrop/src/main/java/kafdrop/service/KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,createTopic/1[kafdrop.service.NewTopic],false,140,2,2,1,1,2,7,11,0,1,1,7,0,0,0,0,1,0,2,0,1,0,1,0,0,0,23,0,2,true
