file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/TextNodeStatistics.java,org.opendataloader.pdf.utils.TextNodeStatistics,class,3,5,2,3,6,1,0,4,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,36,3,0,1,0,0,0,0,13,2,13,1,0,0,0,21,1,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/test/java/org/opendataloader/pdf/markdown/MarkdownGeneratorTest.java,org.opendataloader.pdf.markdown.MarkdownGeneratorTest,class,4,5,1,4,7,1,0,7,15,0.0,0.0,0.0,6,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,36,1,1,0,0,0,17,23,9,4,9,1,0,0,0,71,1,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/TextNodeStatisticsConfig.java,org.opendataloader.pdf.utils.TextNodeStatisticsConfig,class,0,2,2,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,12,0,0,0,0,0,0,10,10,0,10,0,0,0,0,41,1,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/ImagesUtils.java,org.opendataloader.pdf.utils.ImagesUtils,class,11,18,7,11,29,1,0,30,16,0.6875,0.0,0.0,8,1,4,2,2,0,6,0,0,0,2,1,0,2,0,0,1,0,13,91,3,8,6,1,3,1,3,17,1,16,5,0,0,0,67,1,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/json/serializers/ParagraphSerializer.java,org.opendataloader.pdf.json.serializers.ParagraphSerializer,class,5,5,0,5,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-cli/src/main/java/org/opendataloader/pdf/cli/CLIOptions.java,org.opendataloader.pdf.cli.CLIOptions$OptionDefinition,innerclass,1,1,0,1,2,1,0,1,0,0.16666667,0.0,0.0,2,0,0,0,0,2,2,0,0,0,6,0,0,0,0,6,6,0,0,20,1,0,0,0,0,1,0,7,0,7,0,0,0,0,37,10,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/processors/TableStructureNormalizer.java,org.opendataloader.pdf.processors.TableStructureNormalizer$RowBand,innerclass,5,5,0,5,18,1,0,14,30,0.75,-1.0,-1.0,12,0,0,12,0,0,0,0,0,0,6,0,0,6,0,0,1,0,2,59,8,3,0,0,6,0,3,8,10,7,2,0,0,0,61,26,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/processors/HiddenTextProcessor.java,org.opendataloader.pdf.processors.HiddenTextProcessor,class,4,5,1,4,6,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,26,2,1,1,0,0,0,1,4,0,4,4,0,0,0,66,1,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/test/java/org/opendataloader/pdf/processors/TableBorderProcessorTest.java,org.opendataloader.pdf.processors.TableBorderProcessorTest,class,21,22,1,21,20,1,0,48,78,0.0,0.0,0.0,13,0,8,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,263,4,7,0,0,16,26,452,96,26,71,2,0,0,1,167,1,0
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/hybrid/DoclingSchemaTransformer.java,org.opendataloader.pdf.hybrid.DoclingSchemaTransformer,class,16,19,3,16,108,1,0,62,108,0.9375,0.0,0.0,16,0,3,13,0,0,3,0,0,0,13,12,0,13,0,0,12,0,14,338,29,15,31,1,7,75,54,122,23,104,4,1,0,0,248,1,0
