file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/TextNodeStatistics.java,org.opendataloader.pdf.utils.TextNodeStatistics,TextNodeStatistics/1[org.opendataloader.pdf.utils.TextNodeStatisticsConfig],true,14,2,3,2,1,1,0,13,0,8,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,14,1,0,false
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/TextNodeStatistics.java,org.opendataloader.pdf.utils.TextNodeStatistics,addTextNode/1[org.opendataloader.pdf.utils.SemanticTextNode],false,30,2,4,3,1,2,3,7,1,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,false
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/TextNodeStatistics.java,org.opendataloader.pdf.utils.TextNodeStatistics,TextNodeStatistics/0,true,10,1,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/TextNodeStatistics.java,org.opendataloader.pdf.utils.TextNodeStatistics,fontWeightRarityBoost/1[org.opendataloader.pdf.utils.SemanticTextNode],false,43,2,3,2,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,1,0,false
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/main/java/org/opendataloader/pdf/utils/TextNodeStatistics.java,org.opendataloader.pdf.utils.TextNodeStatistics,fontSizeRarityBoost/1[org.opendataloader.pdf.utils.SemanticTextNode],false,38,2,3,2,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,1,0,false
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/test/java/org/opendataloader/pdf/markdown/MarkdownGeneratorTest.java,org.opendataloader.pdf.markdown.MarkdownGeneratorTest,testValidHeadingLevels/1[int],false,39,3,1,0,1,1,3,5,0,2,1,3,1,1,0,0,0,0,5,6,2,2,0,0,0,0,22,0,0,true
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/test/java/org/opendataloader/pdf/markdown/MarkdownGeneratorTest.java,org.opendataloader.pdf.markdown.MarkdownGeneratorTest,testMinHeadingLevelIs1/0,false,84,2,1,0,1,1,2,5,0,0,0,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,12,0,0,true
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/test/java/org/opendataloader/pdf/markdown/MarkdownGeneratorTest.java,org.opendataloader.pdf.markdown.MarkdownGeneratorTest,generateHeadingPrefix/1[int],false,97,0,5,5,0,2,4,9,1,3,1,4,0,0,1,0,0,0,0,3,3,0,1,0,0,0,27,2,0,true
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/test/java/org/opendataloader/pdf/markdown/MarkdownGeneratorTest.java,org.opendataloader.pdf.markdown.MarkdownGeneratorTest,testHeadingLevelsMinimumIs1/1[int],false,63,3,1,0,1,1,2,5,0,2,1,2,1,1,0,0,0,0,3,3,2,1,0,0,0,0,23,0,0,true
/tmp/ck-analysis/opendataloader-project_opendataloader-pdf/java/opendataloader-pdf-core/src/test/java/org/opendataloader/pdf/markdown/MarkdownGeneratorTest.java,org.opendataloader.pdf.markdown.MarkdownGeneratorTest,testHeadingLevelsCappedAt6/1[int],false,51,3,1,0,1,1,2,5,0,2,1,2,1,1,0,0,0,0,3,5,2,1,0,0,0,0,31,0,0,true
