file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/opengoofy_hippo4j/agent/hippo4j-agent-plugin/spring-plugins/spring-boot-1x-plugin/src/main/java/cn/hippo4j/agent/plugin/spring/boot/v1/define/EventPublishingRunListenerInstrumentationV1.java,cn.hippo4j.agent.plugin.spring.boot.v1.define.EventPublishingRunListenerInstrumentationV1$Anonymous1,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,28,-1,0
/tmp/ck-analysis/opengoofy_hippo4j/threadpool/server/config/src/main/java/cn/hippo4j/config/mapper/HisRunDataMapper.java,cn.hippo4j.config.mapper.HisRunDataMapper,interface,5,6,1,5,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,18,0,0,2,0,0,0,1,0,37,1,0
/tmp/ck-analysis/opengoofy_hippo4j/threadpool/rpc/src/main/java/cn/hippo4j/rpc/server/Server.java,cn.hippo4j.rpc.server.Server,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
/tmp/ck-analysis/opengoofy_hippo4j/threadpool/rpc/src/main/java/cn/hippo4j/rpc/handler/AbstractTakeHandler.java,cn.hippo4j.rpc.handler.AbstractTakeHandler,class,7,11,4,7,4,2,4,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,1,0,2,2,0,0,1,47,1024,1
/tmp/ck-analysis/opengoofy_hippo4j/infra/common/src/test/java/cn/hippo4j/common/toolkit/ClassUtilTest.java,cn.hippo4j.common.toolkit.ClassUtilTest,class,3,4,1,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,6,0,2,0,0,0,0,9,1,0
/tmp/ck-analysis/opengoofy_hippo4j/infra/common/src/main/java/cn/hippo4j/common/executor/ThreadPoolManager.java,cn.hippo4j.common.executor.ThreadPoolManager,class,1,3,2,1,8,1,0,10,2,0.5833333,0.0,0.0,4,1,2,2,0,0,3,0,0,0,3,1,0,3,0,0,1,0,0,38,2,0,1,0,0,0,0,6,0,5,2,0,0,0,31,17,0
/tmp/ck-analysis/opengoofy_hippo4j/infra/common/src/main/java/cn/hippo4j/common/conf/Config.java,cn.hippo4j.common.conf.Config$Plugin,innerclass,0,0,0,0,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,1,18,0,0,0,0,0,3,1,3,0,3,0,0,2,0,35,9,0
/tmp/ck-analysis/opengoofy_hippo4j/infra/common/src/main/java/cn/hippo4j/common/toolkit/VersionUtil.java,cn.hippo4j.common.toolkit.VersionUtil,class,3,5,2,3,16,1,0,9,6,0.875,0.0,0.0,4,3,2,2,0,0,2,0,0,0,2,2,1,1,0,0,2,0,9,95,8,1,5,0,0,2,1,7,0,6,2,0,1,0,109,17,0
/tmp/ck-analysis/opengoofy_hippo4j/threadpool/core/src/main/java/cn/hippo4j/core/executor/manage/GlobalThreadPoolManage.java,cn.hippo4j.core.executor.manage.GlobalThreadPoolManage,class,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
/tmp/ck-analysis/opengoofy_hippo4j/threadpool/server/console/src/main/java/cn/hippo4j/console/model/RankingChart.java,cn.hippo4j.console.model.RankingChart,class,4,7,3,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0
/tmp/ck-analysis/opengoofy_hippo4j/infra/common/src/test/java/cn/hippo4j/common/extension/design/AbstractSubjectCenterTest.java,cn.hippo4j.common.extension.design.AbstractSubjectCenterTest,class,6,6,0,6,8,1,0,14,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,80,0,0,0,0,0,1,16,12,0,12,0,0,2,2,39,1,0
