file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/xml/XMLSchedulingDataProcessor.java,org.quartz.xml.XMLSchedulingDataProcessor$Anonymous1,anonymous,0,0,0,0,7,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,1,0,0,2,0,0,0,0,1,0,0,0,22,-1,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/plugins/xml/FileScanJob.java,org.quartz.plugins.xml.FileScanJob,class,14,16,2,14,17,1,0,28,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,5,4,3,2,0,0,5,0,3,68,3,0,4,1,2,14,7,21,4,18,1,0,0,0,127,1,3
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/core/ListenerManagerTest.java,org.quartz.core.ListenerManagerTest$TestSchedulerListener,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/simpl/SimpleThreadPool.java,org.quartz.simpl.SimpleThreadPool$WorkerThread,innerclass,1,1,0,1,19,2,0,14,0,0.48000002,0.0,0.0,5,0,2,0,0,3,5,0,0,0,5,0,0,5,0,0,3,0,0,81,0,2,5,4,0,4,1,11,0,6,4,0,0,0,76,0,3
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/impl/calendar/CronCalendar.java,org.quartz.impl.calendar.CronCalendar,class,4,6,2,4,20,2,0,14,0,0.5833333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,1,0,1,0,1,1,0,0,73,7,1,4,0,6,5,2,10,1,5,2,0,0,0,147,1,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/integrations/tests/JobClassNotFoundExceptionErrorsTriggersTest.java,org.quartz.integrations.tests.JobClassNotFoundExceptionErrorsTriggersTest$SpecialClassLoadHelper,innerclass,2,2,0,2,2,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,9,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/CronExpression.java,org.quartz.CronExpression,class,2,8,6,2,358,1,0,83,473,0.9004608,0.0,0.0,35,2,16,3,15,1,33,0,0,0,31,18,1,3,27,0,19,0,23,1162,77,13,149,6,51,106,308,273,95,140,6,0,0,1,463,17,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz-jobs/src/test/java/org/quartz/jobs/SendMailJobAuthTestBase.java,org.quartz.jobs.SendMailJobAuthTestBase,class,14,17,3,14,6,1,2,19,7,0.6666667,0.0,0.0,6,0,5,0,1,0,6,1,0,0,7,0,0,5,2,0,3,0,0,49,0,0,0,0,0,12,2,10,0,10,0,0,0,0,41,1025,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/core/JobRunShell.java,org.quartz.core.JobRunShell$VetoedException,innerclass,0,0,0,0,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,8,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/DailyTimeIntervalScheduleBuilder.java,org.quartz.DailyTimeIntervalScheduleBuilder,class,8,13,5,8,44,2,0,23,142,0.85999995,0.0,0.0,20,1,18,1,1,0,20,0,0,0,10,3,3,7,0,0,3,0,9,139,18,3,10,0,3,14,23,41,13,27,3,0,0,0,256,1,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/AbstractSchedulerTest.java,org.quartz.AbstractSchedulerTest$TestJobWithSync,innerclass,4,4,0,4,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,1,0,2,0,2,1,2,1,0,0,0,32,9,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/DailyTimeIntervalScheduleBuilderTest.java,org.quartz.DailyTimeIntervalScheduleBuilderTest,class,17,18,1,17,15,1,0,53,45,0.0,0.0,0.0,10,0,0,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,54,130,1,0,0,3,1,37,134,31,5,27,1,0,1,0,76,1,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/impl/jdbcjobstore/PostgresJdbcStoreTest.java,org.quartz.impl.jdbcjobstore.PostgresJdbcStoreTest,class,2,2,0,2,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/plugins/history/LoggingTriggerHistoryPlugin.java,org.quartz.plugins.history.LoggingTriggerHistoryPlugin,class,13,14,1,13,24,1,0,24,112,0.8875,0.0,0.0,16,0,15,0,1,0,16,0,0,0,5,0,0,5,0,0,1,0,4,81,9,0,5,0,0,9,0,17,0,9,1,0,0,0,144,1,3
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/impl/jdbcjobstore/DBSemaphore.java,org.quartz.impl.jdbcjobstore.DBSemaphore,class,7,11,4,7,34,1,2,25,104,0.86274505,0.0,0.0,17,0,8,2,7,0,15,1,0,0,9,0,0,8,0,1,2,0,7,101,9,0,8,0,4,8,0,14,1,10,2,0,0,0,101,1025,5
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/impl/jdbcjobstore/GaussDBDelegate.java,org.quartz.impl.jdbcjobstore.GaussDBDelegate,class,3,5,2,3,7,2,0,4,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,4,1,0,0,2,7,0,6,2,0,0,0,86,1,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/simpl/SimpleThreadPool.java,org.quartz.simpl.SimpleThreadPool,class,5,18,13,5,59,2,2,43,263,0.8794872,0.0,0.0,26,0,23,0,3,0,26,0,0,0,15,0,0,15,0,0,4,0,5,309,14,9,4,6,2,12,9,41,3,25,5,0,1,0,161,1,5
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/main/java/org/quartz/listeners/JobListenerSupport.java,org.quartz.listeners.JobListenerSupport,class,4,11,7,4,4,1,5,2,6,0.75,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,53,1025,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/core/RecoverJobsTest.java,org.quartz.core.RecoverJobsTest$RecoverJobsTestJob,innerclass,5,5,0,5,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,0,1,0,1,0,0,2,19,0,1,0,1,1,5,2,4,4,4,2,0,0,0,20,9,4
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/integrations/tests/QuartzMemoryCronTriggerTest.java,org.quartz.integrations.tests.QuartzMemoryCronTriggerTest,class,10,10,0,10,4,2,0,20,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,19,0,2,0,0,0,3,9,7,2,7,1,0,0,0,35,1,0
/tmp/ck-analysis/quartz-scheduler_quartz/quartz/src/test/java/org/quartz/impl/jdbcjobstore/DeleteNonExistsJobTest.java,org.quartz.impl.jdbcjobstore.DeleteNonExistsJobTest,class,21,22,1,21,9,1,0,35,0,0.6944445,0.0,0.0,9,1,3,2,0,4,7,0,0,0,4,4,0,4,0,0,2,0,16,79,0,0,0,0,0,28,1,17,0,16,0,0,1,0,63,1,0
