file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/remkop_picocli/picocli-codegen-tests-java9plus/src/test/resources/picocli/examples/subcommands/ParentCommandDemo.java,FileUtils,run/0,false,33,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,0,false
/tmp/ck-analysis/remkop_picocli/picocli-codegen-tests-java9plus/src/main/java/picocli/annotation/processing/tests/TypeImporter.java,picocli.annotation.processing.tests.TypeImporter$Generic,Generic/1[java.lang.String],true,360,0,1,1,0,7,7,14,0,1,1,7,0,0,0,0,0,0,7,6,8,6,1,0,0,0,6,0,0,false
/tmp/ck-analysis/remkop_picocli/src/test/java/picocli/CommandLineTest.java,picocli.CommandLineTest$63App,helpCommand/0,false,3452,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/remkop_picocli/src/test/java/picocli/CompletionCandidatesTest.java,picocli.CompletionCandidatesTest$MyAbcdCandidates,MyAbcdCandidates/0,true,61,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/remkop_picocli/src/test/java/picocli/SubcommandTests.java,picocli.SubcommandTests$4App$InhSub,subsub/0,false,2815,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/tmp/ck-analysis/remkop_picocli/src/test/java/picocli/MixinTest.java,picocli.MixinTest$Issue925SubMixin,setVerbose/1[boolean],false,1013,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/tmp/ck-analysis/remkop_picocli/picocli-codegen/src/main/java/picocli/codegen/aot/graalvm/ResourceConfigGenerator.java,picocli.codegen.aot.graalvm.ResourceConfigGenerator$App,call/0,false,87,4,3,0,3,1,4,6,1,2,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/remkop_picocli/src/test/java/picocli/ArgGroupTest.java,picocli.ArgGroupTest$Issue974AnnotatedCommandMethod,"generate/3[int,int,picocli.ArgGroupTest.Issue974AnnotatedCommandMethod.Exclusive]",false,3191,4,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,8,0,0,false
/tmp/ck-analysis/remkop_picocli/picocli-codegen-tests-java9plus/src/test/resources/picocli/codegen/graalvm/example/ExampleInterface.java,picocli.codegen.graalvm.example.ExampleInterface,timeUnit/0,false,31,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,false
/tmp/ck-analysis/remkop_picocli/picocli-codegen-tests-java9plus/src/test/resources/picocli/codegen/graalvm/example/ExampleInterface.java,picocli.codegen.graalvm.example.ExampleInterface,spec/0,false,28,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/remkop_picocli/picocli-codegen-tests-java9plus/src/test/resources/picocli/codegen/graalvm/example/ExampleInterface.java,picocli.codegen.graalvm.example.ExampleInterface,otherFiles/0,false,40,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/remkop_picocli/picocli-codegen-tests-java9plus/src/test/resources/picocli/codegen/graalvm/example/ExampleInterface.java,picocli.codegen.graalvm.example.ExampleInterface,minimum/0,false,37,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,false
/tmp/ck-analysis/remkop_picocli/picocli-codegen-tests-java9plus/src/test/resources/picocli/codegen/graalvm/example/ExampleInterface.java,picocli.codegen.graalvm.example.ExampleInterface,file/0,false,34,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/remkop_picocli/src/test/java/picocli/MixinTest.java,picocli.MixinTest$7Receiver,sub/1[],false,111,3,4,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/tmp/ck-analysis/remkop_picocli/src/main/java/picocli/CommandLine.java,picocli.CommandLine$BuiltIn$DoubleConverter,convert/1[java.lang.String],false,15209,2,1,0,1,2,2,8,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,false
