file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-springboot-longpolling-starter/src/test/java/org/telegram/telegrambots/longpolling/starter/TestTelegramBotStarterConfiguration.java,org.telegram.telegrambots.longpolling.starter.TestTelegramBotStarterConfiguration$MockTelegramBotsLongPollingApplication,telegramBotsApplication/0,false,57,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-meta/src/main/java/org/telegram/telegrambots/meta/api/objects/menubutton/MenuButton.java,org.telegram.telegrambots.meta.api.objects.menubutton.MenuButton,getType/0,false,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1025,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-meta/src/main/java/org/telegram/telegrambots/meta/api/objects/menubutton/MenuButton.java,org.telegram.telegrambots.meta.api.objects.menubutton.MenuButton,validate/0,false,55,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-webhook/src/main/java/org/telegram/telegrambots/webhook/TelegramWebhookBot.java,org.telegram.telegrambots.webhook.TelegramWebhookBot,consumeUpdate/1[org.telegram.telegrambots.webhook.Update],false,11,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-webhook/src/main/java/org/telegram/telegrambots/webhook/TelegramWebhookBot.java,org.telegram.telegrambots.webhook.TelegramWebhookBot,runSetWebhook/0,false,9,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-webhook/src/main/java/org/telegram/telegrambots/webhook/TelegramWebhookBot.java,org.telegram.telegrambots.webhook.TelegramWebhookBot,getBotPath/0,false,13,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-webhook/src/main/java/org/telegram/telegrambots/webhook/TelegramWebhookBot.java,org.telegram.telegrambots.webhook.TelegramWebhookBot,runDeleteWebhook/0,false,7,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-abilities/src/test/java/org/telegram/telegrambots/abilitybots/api/bot/TestAbilityBotChannel.java,org.telegram.telegrambots.abilitybots.api.bot.TestAbilityBotChannel,canTriggerAbilityInEditedChannelPost/0,false,68,4,3,0,3,1,14,13,0,2,0,14,0,0,0,0,0,0,2,3,2,0,0,0,0,0,19,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-abilities/src/test/java/org/telegram/telegrambots/abilitybots/api/bot/TestAbilityBotChannel.java,org.telegram.telegrambots.abilitybots.api.bot.TestAbilityBotChannel,canTriggerAbilityInChannel/0,false,51,4,3,0,3,1,13,12,0,2,0,13,0,0,0,0,0,0,2,3,2,0,0,0,0,0,16,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-abilities/src/test/java/org/telegram/telegrambots/abilitybots/api/bot/TestAbilityBotChannel.java,org.telegram.telegrambots.abilitybots.api.bot.TestAbilityBotChannel,setUp/0,false,34,6,4,0,4,1,4,8,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,16,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-abilities/src/test/java/org/telegram/telegrambots/abilitybots/api/bot/TestAbilityBotChannel.java,org.telegram.telegrambots.abilitybots.api.bot.TestAbilityBotChannel,tearDown/0,false,45,2,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/tmp/ck-analysis/rubenlagus_TelegramBots/telegrambots-meta/src/test/java/org/telegram/telegrambots/meta/test/asserts/ApiAssert.java,org.telegram.telegrambots.meta.test.asserts.ApiAssert,ApiAssert/0,true,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
