file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/spring-io_initializr/initializr-version-resolver/src/main/java/io/spring/initializr/versionresolver/MavenVersionResolver.java,io.spring.initializr.versionresolver.MavenVersionResolver,withCacheLocation/1[java.nio.file.Path],false,61,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,true
/tmp/ck-analysis/spring-io_initializr/initializr-version-resolver/src/main/java/io/spring/initializr/versionresolver/MavenVersionResolver.java,io.spring.initializr.versionresolver.MavenVersionResolver,"resolveDependencies/3[java.lang.String,java.lang.String,java.lang.String]",false,31,0,4,4,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
/tmp/ck-analysis/spring-io_initializr/initializr-version-resolver/src/main/java/io/spring/initializr/versionresolver/MavenVersionResolver.java,io.spring.initializr.versionresolver.MavenVersionResolver,"resolvePlugins/3[java.lang.String,java.lang.String,java.lang.String]",false,42,0,4,4,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,true
/tmp/ck-analysis/spring-io_initializr/initializr-generator-spring/src/main/java/io/spring/initializr/generator/spring/code/kotlin/SimpleKotlinProjectSettings.java,io.spring.initializr.generator.spring.code.kotlin.SimpleKotlinProjectSettings,getVersion/0,false,59,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/tmp/ck-analysis/spring-io_initializr/initializr-generator-spring/src/main/java/io/spring/initializr/generator/spring/code/kotlin/SimpleKotlinProjectSettings.java,io.spring.initializr.generator.spring.code.kotlin.SimpleKotlinProjectSettings,SimpleKotlinProjectSettings/1[java.lang.String],true,43,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
/tmp/ck-analysis/spring-io_initializr/initializr-generator-spring/src/main/java/io/spring/initializr/generator/spring/code/kotlin/SimpleKotlinProjectSettings.java,io.spring.initializr.generator.spring.code.kotlin.SimpleKotlinProjectSettings,getJvmTarget/0,false,64,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/spring-io_initializr/initializr-generator-spring/src/main/java/io/spring/initializr/generator/spring/code/kotlin/SimpleKotlinProjectSettings.java,io.spring.initializr.generator.spring.code.kotlin.SimpleKotlinProjectSettings,"SimpleKotlinProjectSettings/2[java.lang.String,java.lang.String]",true,53,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,1,0,true
/tmp/ck-analysis/spring-io_initializr/initializr-generator-spring/src/main/java/io/spring/initializr/generator/spring/code/kotlin/SimpleKotlinProjectSettings.java,io.spring.initializr.generator.spring.code.kotlin.SimpleKotlinProjectSettings,getCompilerArgs/0,false,69,1,2,0,2,2,4,8,1,2,0,4,0,0,0,0,0,0,1,1,2,0,1,0,0,0,20,1,0,false
/tmp/ck-analysis/spring-io_initializr/initializr-generator-spring/src/main/java/io/spring/initializr/generator/spring/code/kotlin/KotlinProjectGenerationDefaultContributorsConfiguration.java,io.spring.initializr.generator.spring.code.kotlin.KotlinProjectGenerationDefaultContributorsConfiguration$SpringBoot2AndLaterKotlinProjectGenerationConfiguration,kotlinBuildCustomizer/1[io.spring.initializr.generator.spring.code.kotlin.KotlinProjectSettings],false,111,4,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/tmp/ck-analysis/spring-io_initializr/initializr-generator-spring/src/main/java/io/spring/initializr/generator/spring/code/kotlin/KotlinProjectGenerationDefaultContributorsConfiguration.java,io.spring.initializr.generator.spring.code.kotlin.KotlinProjectGenerationDefaultContributorsConfiguration$SpringBoot2AndLaterKotlinProjectGenerationConfiguration,mainFunctionContributor/1[io.spring.initializr.generator.project.ProjectDescription],false,117,6,0,0,0,2,8,8,1,2,1,8,0,0,0,1,0,0,6,0,1,0,1,0,0,1,14,0,0,false
