file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/user/KafkaUserAuthentication.java,io.strimzi.api.kafka.model.user.KafkaUserAuthentication,class,11,16,5,11,5,1,3,2,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,13,1,0,2,0,0,2,1,1,0,1,1,0,0,0,17,1025,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/user-operator/src/test/java/io/strimzi/operator/user/operator/cache/ScramShaCredentialsCacheTest.java,io.strimzi.operator.user.operator.cache.ScramShaCredentialsCacheTest,class,6,6,0,6,3,1,0,21,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,7,4,7,0,9,2,0,0,2,36,1,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/connect/build/ImageStreamOutput.java,io.strimzi.api.kafka.model.connect.build.ImageStreamOutput,class,8,9,1,8,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,7,0,0,2,0,0,0,0,0,40,1,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,class,24,24,0,24,37,1,0,89,0,0.3857143,0.0,0.0,14,0,14,0,0,0,14,0,0,0,10,10,0,10,0,0,10,0,87,247,0,12,0,0,0,155,54,86,4,81,3,0,0,10,98,1,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,class,17,18,1,17,7,2,0,105,7,0.5714286,0.0,0.0,7,0,0,1,0,6,6,0,0,0,2,1,0,2,0,0,2,0,14,106,1,0,0,0,8,45,40,17,9,17,0,0,0,0,63,1,3
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/kafkaclients/internalClients/admin/KafkaAdminException.java,io.strimzi.systemtest.kafkaclients.internalClients.admin.KafkaAdminException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,class,15,18,3,15,37,1,0,103,33,0.77777773,0.0,0.0,15,14,12,3,0,0,12,0,0,0,3,3,0,3,0,0,3,0,28,212,2,3,10,0,0,62,10,42,7,58,5,0,0,18,300,1,20
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/resources/types/KafkaBridgeType.java,io.strimzi.systemtest.resources.types.KafkaBridgeType,class,9,10,1,9,11,1,0,19,15,0.4,0.0,0.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,2,35,5,0,1,0,0,0,0,2,0,2,0,0,0,0,25,1,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/operator-common/src/main/java/io/strimzi/operator/common/model/Ca.java,io.strimzi.operator.common.model.Ca,class,16,21,5,16,123,1,3,149,672,0.91133,0.0,0.0,49,7,27,12,8,2,37,2,0,0,29,14,11,4,14,0,22,0,103,690,50,2,22,25,1,110,21,123,32,100,4,0,2,4,461,1025,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/operator-common/src/main/java/io/strimzi/operator/common/model/ResourceVisitor.java,io.strimzi.operator.common.model.ResourceVisitor,class,8,10,2,8,31,1,0,31,10,0.8,0.0,0.0,5,4,1,3,0,1,2,0,0,0,4,4,0,4,0,0,4,0,9,119,1,4,5,1,0,4,7,16,3,14,4,1,3,0,76,1,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/topic-operator/src/test/java/io/strimzi/operator/topic/model/EitherTest.java,io.strimzi.operator.topic.model.EitherTest,class,2,2,0,2,5,1,0,16,0,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,2,0,0,2,0,0,2,0,14,42,0,0,0,0,0,9,15,6,3,10,0,0,0,4,23,0,0
/tmp/ck-analysis/strimzi_strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/resources/operator/ClusterOperatorConfiguration.java,io.strimzi.systemtest.resources.operator.ClusterOperatorConfiguration,class,6,14,8,6,40,1,0,12,655,0.9473685,0.0,0.0,38,0,38,0,0,0,38,0,0,0,19,0,0,19,0,0,5,0,4,139,24,0,1,0,0,5,1,31,1,20,0,0,0,0,79,1,0
