file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/fragments/dialog/ExternalVersioningFragment.java,com.nutomic.syncthingandroid.fragments.dialog.ExternalVersioningFragment$Anonymous1,"onTextChanged/4[java.lang.CharSequence,int,int,int]",false,56,1,1,0,1,1,2,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/fragments/dialog/ExternalVersioningFragment.java,com.nutomic.syncthingandroid.fragments.dialog.ExternalVersioningFragment$Anonymous1,afterTextChanged/1[com.nutomic.syncthingandroid.fragments.dialog.Editable],false,61,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/fragments/dialog/ExternalVersioningFragment.java,com.nutomic.syncthingandroid.fragments.dialog.ExternalVersioningFragment$Anonymous1,"beforeTextChanged/4[java.lang.CharSequence,int,int,int]",false,51,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/FirstStartActivity.java,com.nutomic.syncthingandroid.activities.FirstStartActivity$Slide,Slide/1[int],true,63,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,updateVersioningType/1[int],false,79,0,1,1,0,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,initiateFinishBtn/0,false,48,0,1,1,0,1,3,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,2,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,onCreate/1[com.nutomic.syncthingandroid.activities.Bundle],false,32,2,3,0,3,2,13,14,0,0,1,13,3,2,0,1,0,0,2,0,3,0,1,0,0,0,23,4,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,onSaveInstanceState/1[com.nutomic.syncthingandroid.activities.Bundle],false,123,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,initiateSpinner/0,false,61,1,1,1,0,1,6,14,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,2,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,getFragment/1[int],false,98,6,6,1,5,6,0,21,1,1,1,0,0,0,0,0,0,0,0,5,6,0,1,0,0,0,12,2,0,false
/tmp/ck-analysis/syncthing_syncthing-android/app/src/main/java/com/nutomic/syncthingandroid/activities/VersioningDialogActivity.java,com.nutomic.syncthingandroid.activities.VersioningDialogActivity,onBackPressed/0,false,129,1,1,0,1,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
