file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-tools/pdfsam-simple-split/src/main/java/org/pdfsam/tools/split/SplitTool.java,org.pdfsam.tools.split.SplitTool,class,11,12,1,11,4,1,0,18,4,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,1,0,1,2,0,3,38,4,0,0,0,0,5,0,3,0,3,0,0,1,0,43,1,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-ui-components/src/test/java/org/pdfsam/ui/components/selection/multiple/SelectionTableTest.java,org.pdfsam.ui.components.selection.multiple.SelectionTableTest$Anonymous4,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-gui/src/test/java/org/pdfsam/gui/RunAcceleratorControllerTest.java,org.pdfsam.gui.RunAcceleratorControllerTest,class,11,11,0,11,3,1,0,15,0,0.22222222,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,2,27,0,0,0,0,0,0,0,6,0,6,0,0,0,0,33,0,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-service/src/test/java/org/pdfsam/service/ui/WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,class,13,13,0,13,8,1,0,35,0,0.3,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,1,0,4,0,1,0,0,4,86,0,0,0,0,0,16,10,21,0,21,0,0,0,4,56,1,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-model/src/main/java/org/pdfsam/model/tool/ToolInputOutputType.java,org.pdfsam.model.tool.ToolInputOutputType,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-ui-components/src/test/java/org/pdfsam/ui/components/selection/multiple/SelectionTableWithoutDuplicateTest.java,org.pdfsam.ui.components.selection.multiple.SelectionTableWithoutDuplicateTest,class,19,20,1,19,4,1,0,22,2,0.7,0.0,0.0,4,0,3,1,0,0,3,0,0,0,5,2,1,3,0,1,1,0,1,31,1,0,0,0,0,7,1,7,0,9,0,0,0,1,54,1,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-ui-components/src/test/java/org/pdfsam/ui/components/selection/multiple/SelectedPagesColumnTest.java,org.pdfsam.ui.components.selection.multiple.SelectedPagesColumnTest,class,3,3,0,3,4,1,0,11,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,6,2,0,2,0,0,0,0,23,0,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-core/src/test/java/org/pdfsam/core/support/validation/FileValidatorTest.java,org.pdfsam.core.support.validation.FileValidatorTest,class,3,3,0,3,3,1,0,9,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,4,15,0,0,0,0,0,5,0,2,0,2,0,0,0,0,19,1,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-ui-components/src/main/java/org/pdfsam/ui/components/selection/multiple/SelectedPagesColumn.java,org.pdfsam.ui.components.selection.multiple.SelectedPagesColumn,class,7,9,2,7,9,1,0,6,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,38,7,0,0,0,0,2,2,0,0,1,1,1,0,1,50,1,0
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-ui-components/src/test/java/org/pdfsam/ui/components/selection/multiple/SelectionTableTest.java,org.pdfsam.ui.components.selection.multiple.SelectionTableTest$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
