file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-tools/pdfsam-simple-split/src/main/java/org/pdfsam/tools/split/SplitTool.java,org.pdfsam.tools.split.SplitTool,panel/0,false,69,3,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-tools/pdfsam-simple-split/src/main/java/org/pdfsam/tools/split/SplitTool.java,org.pdfsam.tools.split.SplitTool,descriptor/0,false,64,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-tools/pdfsam-simple-split/src/main/java/org/pdfsam/tools/split/SplitTool.java,org.pdfsam.tools.split.SplitTool,graphic/0,false,79,3,1,0,1,1,6,6,1,1,0,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-tools/pdfsam-simple-split/src/main/java/org/pdfsam/tools/split/SplitTool.java,org.pdfsam.tools.split.SplitTool,id/0,false,74,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-ui-components/src/test/java/org/pdfsam/ui/components/selection/multiple/SelectionTableTest.java,org.pdfsam.ui.components.selection.multiple.SelectionTableTest$Anonymous4,onEvent/1[SetDestinationRequest],false,540,1,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-gui/src/test/java/org/pdfsam/gui/RunAcceleratorControllerTest.java,org.pdfsam.gui.RunAcceleratorControllerTest,setUp/0,false,48,5,1,0,1,1,5,8,0,1,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-gui/src/test/java/org/pdfsam/gui/RunAcceleratorControllerTest.java,org.pdfsam.gui.RunAcceleratorControllerTest,runRequestIfNoActiveModule/0,false,68,4,1,0,1,1,12,7,0,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-gui/src/test/java/org/pdfsam/gui/RunAcceleratorControllerTest.java,org.pdfsam.gui.RunAcceleratorControllerTest,runRequestIsSent/0,false,59,5,1,0,1,1,10,7,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-service/src/test/java/org/pdfsam/service/ui/WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,saveWorkspace/0,false,77,4,1,0,1,1,12,7,0,1,0,12,0,0,0,0,0,0,0,2,1,0,0,0,0,0,13,1,0,false
/tmp/ck-analysis/torakiki_pdfsam/pdfsam-service/src/test/java/org/pdfsam/service/ui/WorkspaceControllerTest.java,org.pdfsam.service.ui.WorkspaceControllerTest,saveWorkspaceWithException/0,false,86,4,1,0,1,1,13,8,0,2,0,13,0,0,0,0,0,0,1,1,2,0,0,0,0,0,18,1,0,false
