file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/interfaceJsonRpcOnSolidity/JsonRpcOnSolidityServlet.java,org.tron.core.services.interfaceJsonRpcOnSolidity.JsonRpcOnSolidityServlet,"doPost/2[org.tron.core.services.interfaceJsonRpcOnSolidity.HttpServletRequest,org.tron.core.services.interfaceJsonRpcOnSolidity.HttpServletResponse]",false,19,3,0,0,0,2,3,12,0,0,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,1,11,4,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/http/GetIncomingViewingKeyServlet.java,org.tron.core.services.http.GetIncomingViewingKeyServlet,"fillResponse/4[boolean,java.lang.String,java.lang.String,org.tron.core.services.http.HttpServletResponse]",false,47,4,4,2,2,1,5,4,0,1,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/http/GetIncomingViewingKeyServlet.java,org.tron.core.services.http.GetIncomingViewingKeyServlet,"doPost/2[org.tron.core.services.http.HttpServletRequest,org.tron.core.services.http.HttpServletResponse]",false,21,6,3,0,3,2,7,12,0,4,2,7,1,1,0,0,1,0,2,0,4,0,1,0,0,0,21,4,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/http/GetIncomingViewingKeyServlet.java,org.tron.core.services.http.GetIncomingViewingKeyServlet,"doGet/2[org.tron.core.services.http.HttpServletRequest,org.tron.core.services.http.HttpServletResponse]",false,34,4,3,0,3,2,4,11,0,3,2,4,1,1,0,0,1,0,2,0,3,0,1,0,0,0,14,4,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,bytesToInt/1[byte[]],false,210,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,compress/0,false,224,2,2,1,1,4,2,25,0,5,0,2,1,1,2,0,0,1,0,64,9,2,1,0,0,0,38,2,0,true
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,update/1[byte],false,111,1,1,0,1,3,1,12,0,0,1,1,1,2,0,2,0,0,0,0,1,0,2,0,0,0,29,1,0,true
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,getDigestSize/0,false,101,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,getAlgorithmName/0,false,96,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,"mix/6[long,long,int,int,int,int]",false,259,0,1,1,0,1,1,10,0,0,6,1,0,0,0,0,0,0,0,4,8,2,0,0,0,0,4,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,bytesToLong/1[byte[]],false,214,1,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,initialize/0,false,191,1,4,2,2,4,4,14,0,4,0,4,2,1,2,1,0,1,0,19,10,6,1,0,0,0,12,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,Blake2bfDigest/0,true,66,2,1,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,11,0,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,"doFinal/2[byte[],int]",false,162,2,2,0,2,3,4,11,1,1,2,4,2,2,1,1,0,0,1,6,1,1,1,0,0,0,29,1,0,true
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,"Blake2bfDigest/5[long[],long[],long[],boolean,long]",true,81,2,0,0,0,2,0,11,0,0,5,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,13,0,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,reset/0,false,180,0,1,1,0,1,1,10,0,0,0,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,12,1,0,true
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/Blake2bfMessageDigest.java,org.tron.common.crypto.Blake2bfMessageDigest$Blake2bfDigest,"update/3[byte[],int,int]",false,132,2,1,0,1,5,2,13,1,0,3,2,1,2,0,3,0,1,3,1,1,3,1,0,0,0,42,1,0,true
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/http/CreateShieldedContractParametersServlet.java,org.tron.core.services.http.CreateShieldedContractParametersServlet,"doPost/2[org.tron.core.services.http.HttpServletRequest,org.tron.core.services.http.HttpServletResponse]",false,23,7,6,0,6,2,15,14,0,4,2,15,0,0,0,0,1,0,0,0,4,0,1,0,0,0,17,4,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/http/CreateShieldedContractParametersServlet.java,org.tron.core.services.http.CreateShieldedContractParametersServlet,"doGet/2[org.tron.core.services.http.HttpServletRequest,org.tron.core.services.http.HttpServletResponse]",false,20,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/tmp/ck-analysis/tronprotocol_java-tron/chainbase/src/main/java/org/tron/common/zksnark/LibrustzcashParam.java,org.tron.common.zksnark.LibrustzcashParam$CheckOutputParams,"decode/2[long,byte[]]",false,724,2,1,0,1,1,1,11,1,4,2,1,0,0,0,0,0,0,0,16,4,0,0,0,0,0,12,9,0,false
/tmp/ck-analysis/tronprotocol_java-tron/chainbase/src/main/java/org/tron/common/zksnark/LibrustzcashParam.java,org.tron.common.zksnark.LibrustzcashParam$CheckOutputParams,"decodeZ/2[long,byte[]]",false,739,2,1,0,1,1,1,11,1,4,2,1,0,0,0,0,0,0,0,18,4,1,0,0,0,0,13,9,0,false
/tmp/ck-analysis/tronprotocol_java-tron/chainbase/src/main/java/org/tron/common/zksnark/LibrustzcashParam.java,org.tron.common.zksnark.LibrustzcashParam$CheckOutputParams,valid/0,false,763,1,3,1,2,1,2,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/chainbase/src/main/java/org/tron/common/zksnark/LibrustzcashParam.java,org.tron.common.zksnark.LibrustzcashParam$CheckOutputParams,encode/0,false,753,1,0,0,0,1,1,8,1,1,0,1,0,0,0,0,0,0,0,16,1,1,0,0,0,0,2,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/chainbase/src/main/java/org/tron/common/zksnark/LibrustzcashParam.java,org.tron.common.zksnark.LibrustzcashParam$CheckOutputParams,"CheckOutputParams/5[long,byte[],byte[],byte[],byte[]]",true,714,2,5,4,1,1,1,8,0,0,5,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,12,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/prometheus/MetricsGauge.java,org.tron.common.prometheus.MetricsGauge,"init/3[java.lang.String,java.lang.String,java.lang.String[]]",false,28,0,1,1,0,1,6,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/prometheus/MetricsGauge.java,org.tron.common.prometheus.MetricsGauge,(initializer 1),false,14,1,25,0,25,1,1,9,0,0,0,1,1,1,0,0,0,0,16,0,0,0,0,0,0,0,8,8,0,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/prometheus/MetricsGauge.java,org.tron.common.prometheus.MetricsGauge,"set/3[java.lang.String,double,java.lang.String[]]",false,48,2,2,1,1,3,5,10,1,1,3,5,0,0,0,1,0,0,1,0,1,0,2,0,0,0,8,8,1,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/prometheus/MetricsGauge.java,org.tron.common.prometheus.MetricsGauge,"inc/3[java.lang.String,double,java.lang.String[]]",false,37,2,2,1,1,3,5,10,1,1,3,5,0,0,0,1,0,0,1,0,1,0,2,0,0,0,8,8,1,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/prometheus/MetricsGauge.java,org.tron.common.prometheus.MetricsGauge,MetricsGauge/0,true,24,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/common/runtime/vm/EnergyWhenSendAndTransferTest.java,org.tron.common.runtime.vm.EnergyWhenSendAndTransferTest,sendTest/0,false,157,10,12,0,12,1,19,20,0,9,0,19,1,1,0,0,0,1,1,8,10,5,0,0,0,0,44,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/common/runtime/vm/EnergyWhenSendAndTransferTest.java,org.tron.common.runtime.vm.EnergyWhenSendAndTransferTest,"deployCallValueTestContract/3[long,long,long]",false,226,3,2,1,1,1,2,7,1,4,3,2,0,0,0,0,0,0,24,0,4,2,0,0,0,0,30,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/common/runtime/vm/EnergyWhenSendAndTransferTest.java,org.tron.common.runtime.vm.EnergyWhenSendAndTransferTest,(initializer 1),false,29,0,25,0,25,1,3,4,0,0,0,3,0,0,0,0,0,0,3,0,1,1,0,0,0,0,10,8,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/common/runtime/vm/EnergyWhenSendAndTransferTest.java,org.tron.common.runtime.vm.EnergyWhenSendAndTransferTest,init/0,false,38,3,5,0,5,1,6,6,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/common/runtime/vm/EnergyWhenSendAndTransferTest.java,org.tron.common.runtime.vm.EnergyWhenSendAndTransferTest,callValueTest/0,false,82,10,11,0,11,1,17,23,0,10,0,17,1,1,0,0,0,2,2,11,13,8,0,0,0,0,44,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/common/runtime/vm/EnergyWhenSendAndTransferTest.java,org.tron.common.runtime.vm.EnergyWhenSendAndTransferTest,transferTest/0,false,191,10,12,0,12,1,19,20,0,9,0,19,1,1,0,0,0,1,1,8,10,5,0,0,0,0,43,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/common/runtime/vm/EnergyWhenSendAndTransferTest.java,org.tron.common.runtime.vm.EnergyWhenSendAndTransferTest,"deploySendAndTransferTestContract/3[long,long,long]",false,261,3,3,2,1,1,2,7,1,4,3,2,0,0,0,0,0,0,22,0,4,2,0,0,0,0,31,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/http/TriggerConstantContractServlet.java,org.tron.core.services.http.TriggerConstantContractServlet,"doPost/2[org.tron.core.services.http.HttpServletRequest,org.tron.core.services.http.HttpServletResponse]",false,36,11,10,0,10,5,34,39,0,13,2,34,0,0,0,1,1,0,3,0,17,1,2,0,0,0,39,4,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/services/http/TriggerConstantContractServlet.java,org.tron.core.services.http.TriggerConstantContractServlet,"doGet/2[org.tron.core.services.http.HttpServletRequest,org.tron.core.services.http.HttpServletResponse]",false,32,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/main/java/org/tron/core/capsule/utils/FastByteComparisons.java,org.tron.core.capsule.utils.FastByteComparisons$LexicographicalComparerHolder,getBestComparer/0,false,58,3,1,0,1,2,3,10,2,2,0,3,0,0,0,0,1,0,1,1,2,0,1,0,0,0,33,8,0,true
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/jce/ECKeyAgreement.java,org.tron.common.crypto.jce.ECKeyAgreement,ECKeyAgreement/0,true,33,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/jce/ECKeyAgreement.java,org.tron.common.crypto.jce.ECKeyAgreement,getInstance/0,false,36,0,0,0,0,2,1,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,9,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/jce/ECKeyAgreement.java,org.tron.common.crypto.jce.ECKeyAgreement,getInstance/1[java.lang.String],false,45,0,0,0,0,2,1,8,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,9,0,false
/tmp/ck-analysis/tronprotocol_java-tron/crypto/src/main/java/org/tron/common/crypto/jce/ECKeyAgreement.java,org.tron.common.crypto.jce.ECKeyAgreement,getInstance/1[java.security.Provider],false,53,0,0,0,0,2,1,8,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,9,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/core/services/jsonrpc/TransactionReceiptTest.java,org.tron.core.services.jsonrpc.TransactionReceiptTest,testTransactionReceipt/0,false,31,7,0,0,0,1,44,38,0,11,0,44,0,0,0,0,0,0,14,17,11,0,0,0,0,0,22,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/core/services/jsonrpc/TransactionReceiptTest.java,org.tron.core.services.jsonrpc.TransactionReceiptTest,(initializer 1),false,26,2,25,0,25,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/logsfilter/FilterQuery.java,org.tron.common.logsfilter.FilterQuery,parseToBlockNumber/1[java.lang.String],false,39,0,1,1,0,3,3,10,1,1,1,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,7,9,0,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/logsfilter/FilterQuery.java,org.tron.common.logsfilter.FilterQuery,toString/0,false,50,0,1,1,0,1,4,3,1,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/common/src/main/java/org/tron/common/logsfilter/FilterQuery.java,org.tron.common.logsfilter.FilterQuery,parseFromBlockNumber/1[java.lang.String],false,29,0,1,1,0,3,3,10,1,1,1,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,7,9,0,false
/tmp/ck-analysis/tronprotocol_java-tron/consensus/src/main/java/org/tron/consensus/pbft/PbftMessageHandle.java,org.tron.consensus.pbft.PbftMessageHandle$Anonymous2,run/0,false,314,1,3,0,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/core/actuator/MarketSellAssetActuatorTest.java,org.tron.core.actuator.MarketSellAssetActuatorTest,"addOrder/5[java.lang.String,long,java.lang.String,long,java.lang.String]",false,584,6,16,12,4,1,14,11,0,4,5,14,1,1,0,0,0,0,0,0,4,0,0,0,0,0,19,2,0,false
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/core/actuator/MarketSellAssetActuatorTest.java,org.tron.core.actuator.MarketSellAssetActuatorTest,noBuyAddFirstSellOrder2/0,false,706,18,5,0,5,1,41,43,0,22,0,41,2,1,0,0,0,0,0,12,23,1,0,0,0,0,70,1,0,true
/tmp/ck-analysis/tronprotocol_java-tron/framework/src/test/java/org/tron/core/actuator/MarketSellAssetActuatorTest.java,org.tron.core.actuator.MarketSellAssetActuatorTest,hasBuyAddFirstSellOrderNotMatch1/0,false,1043,18,6,0,6,1,40,44,0,21,0,40,3,2,0,0,0,0,0,18,22,0,0,0,0,0,66,1,0,true
