file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/wiremock_wiremock/perf-test/src/main/java/wiremock/LoadTestConfiguration.java,wiremock.LoadTestConfiguration$Anonymous2,anonymous,0,0,0,0,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,4,0,3,0,1,0,0,0,8,-1,0
/tmp/ck-analysis/wiremock_wiremock/wiremock-core/src/main/java/com/github/tomakehurst/wiremock/verification/InMemoryMessageJournal.java,com.github.tomakehurst.wiremock.verification.InMemoryMessageJournal,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/tmp/ck-analysis/wiremock_wiremock/perf-test/src/main/java/wiremock/LoadTestConfiguration.java,wiremock.LoadTestConfiguration$Anonymous1,anonymous,0,0,0,0,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,2,4,0,3,0,1,0,0,0,8,-1,0
/tmp/ck-analysis/wiremock_wiremock/wiremock-url/wiremock-url/src/test/java/org/wiremock/url/AbsoluteUrlTests.java,org.wiremock.url.AbsoluteUrlTests$Builder,innerclass,14,14,0,14,5,1,0,27,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,0,0,17,1,4,0,4,0,0,0,1,29,0,0
/tmp/ck-analysis/wiremock_wiremock/wiremock-url/wiremock-url/src/test/java/org/wiremock/url/UserInfoTests.java,org.wiremock.url.UserInfoTests$HashCode,innerclass,3,3,0,3,2,1,0,4,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,3,0,5,0,5,0,0,0,0,19,0,0
/tmp/ck-analysis/wiremock_wiremock/src/test/java/com/github/tomakehurst/wiremock/matching/RequestPatternTest.java,com.github.tomakehurst.wiremock.matching.RequestPatternTest$Anonymous1,anonymous,2,2,0,2,2,1,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,1,0,0,0,0,0,15,-1,0
/tmp/ck-analysis/wiremock_wiremock/wiremock-core/src/main/java/com/github/tomakehurst/wiremock/direct/DirectCallHttpServerFactory.java,com.github.tomakehurst.wiremock.direct.DirectCallHttpServerFactory,class,7,7,0,7,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,21,1,0
/tmp/ck-analysis/wiremock_wiremock/wiremock-core/src/main/java/com/github/tomakehurst/wiremock/common/url/PathTemplate.java,com.github.tomakehurst.wiremock.common.url.RendererBuilder$1Wildcard,innerclass,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,1,0,1,0,1,1,0,0,0,14,0,0
/tmp/ck-analysis/wiremock_wiremock/wiremock-core/src/main/java/com/github/tomakehurst/wiremock/message/MessageChannel.java,com.github.tomakehurst.wiremock.message.MessageChannel,interface,2,14,12,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/tmp/ck-analysis/wiremock_wiremock/wiremock-core/src/main/java/com/github/tomakehurst/wiremock/verification/FindRequestsResult.java,com.github.tomakehurst.wiremock.verification.FindRequestsResult,class,5,11,6,5,4,2,0,1,0,0.25,0.0,0.0,4,2,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,16,3,0,0,0,0,2,0,1,0,1,0,0,0,0,11,1,0
