file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/peers/graphics/ProfilingGraph.java,net.yacy.peers.graphics.ProfilingGraph$EventDHT,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,5,0,0,0,0,11,9,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/ai/tools/Mermaid2ASCIITool.java,net.yacy.ai.tools.Mermaid2ASCIITool$FDrawCoord,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,26,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/crawler/LegacyBalancer.java,net.yacy.crawler.LegacyBalancer$EntryIterator,innerclass,3,3,0,3,8,1,0,5,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,23,3,0,3,1,2,0,0,3,0,2,1,0,0,0,15,2,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/htroot/PerformanceConcurrency_p.java,net.yacy.htroot.PerformanceConcurrency_p,class,4,4,0,4,15,1,0,19,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,2,5,0,2,34,26,27,32,13,2,0,0,0,22,1,0
/tmp/ck-analysis/yacy_yacy_search_server/test/java/net/yacy/document/DateDetectionTest.java,net.yacy.document.DateDetectionTest,class,3,4,1,3,9,1,0,20,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,91,0,5,0,0,0,91,11,26,1,21,1,0,0,0,69,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/kelondro/rwi/AbstractBufferedIndex.java,net.yacy.kelondro.rwi.AbstractBufferedIndex,class,12,14,2,12,10,2,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,23,1,1,3,0,3,0,2,7,0,5,2,0,0,0,23,1025,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/visualization/AnimationPlotter.java,net.yacy.visualization.AnimationPlotter,class,2,4,2,2,11,1,0,16,0,0.2,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,3,56,1,4,1,2,0,1,5,12,2,10,3,0,1,0,41,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/ai/llama3/Model/Arch.java,net.yacy.ai.llama3.Model.Arch,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/cora/protocol/Scanner.java,net.yacy.cora.protocol.Scanner,class,8,9,1,8,51,1,0,53,78,0.75,0.0,0.0,17,11,16,1,0,0,16,0,3,0,4,1,0,4,0,0,4,0,16,273,14,12,8,5,2,10,32,29,16,26,4,0,3,1,116,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/kelondro/index/BufferedObjectIndex.java,net.yacy.kelondro.index.BufferedObjectIndex,class,15,16,1,15,67,1,0,69,0,0.5530303,0.0,0.0,33,0,31,2,0,0,31,0,2,1,4,0,0,4,0,0,4,0,7,246,37,6,10,4,1,1,3,26,6,25,3,0,0,0,159,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/visualization/StarTunnelPlotter.java,net.yacy.visualization.StarTunnelPlotter,class,4,5,1,4,20,2,0,24,3,0.5555556,0.0,0.0,6,1,3,3,0,0,3,0,0,0,6,0,0,6,0,0,6,0,16,101,1,5,0,1,6,9,64,39,32,30,2,0,1,0,71,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/document/parser/rdfa/IRDFaTriple.java,net.yacy.document.parser.rdfa.IRDFaTriple,interface,0,3,3,0,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/data/BlogBoard.java,net.yacy.data.BlogBoard$BlogEntry,innerclass,8,8,0,8,49,1,0,33,0,0.47826084,0.0,0.0,23,0,14,8,0,1,15,0,0,0,2,0,0,0,0,2,0,0,17,163,18,0,19,1,7,50,10,22,0,18,3,0,0,0,55,1,0
/tmp/ck-analysis/yacy_yacy_search_server/source/net/yacy/htroot/IndexReIndexMonitor_p.java,net.yacy.htroot.IndexReIndexMonitor_p,class,15,16,1,15,57,1,0,72,10,0.8,0.0,0.0,5,5,1,2,2,0,3,0,0,0,1,1,0,1,0,0,1,0,11,267,3,1,21,5,10,100,27,41,6,26,6,0,0,0,146,1,0
